
[                                                  ] 1% 240-241 | [-90]-[-89] | 47.91 s | join = 58 | tmass = 58 | gaia = 203| TOP = 50000000
[                                                  ] 1% 240-241 | [-89]-[-88] | 8.27 s | join = 150 | tmass = 150 | gaia = 609| TOP = 50000000
[                                                  ] 2% 240-241 | [-88]-[-87] | 9.91 s | join = 270 | tmass = 270 | gaia = 1121| TOP = 50000000
[#                                                 ] 2% 240-241 | [-87]-[-86] | 13.97 s | join = 413 | tmass = 413 | gaia = 1607| TOP = 50000000
[#                                                 ] 3% 240-241 | [-86]-[-85] | 12.53 s | join = 495 | tmass = 495 | gaia = 2159| TOP = 50000000
[#                                                 ] 3% 240-241 | [-85]-[-84] | 12.66 s | join = 729 | tmass = 729 | gaia = 2894| TOP = 50000000
[#                                                 ] 4% 240-241 | [-84]-[-83] | 10.47 s | join = 996 | tmass = 996 | gaia = 3818| TOP = 50000000
[##                                                ] 4% 240-241 | [-83]-[-82] | 56.32 s | join = 1240 | tmass = 1240 | gaia = 4757| TOP = 50000000
[##                                                ] 5% 240-241 | [-82]-[-81] | 17.19 s | join = 1400 | tmass = 1400 | gaia = 5521| TOP = 50000000
[##                                                ] 6% 240-241 | [-81]-[-80] | 17.69 s | join = 1636 | tmass = 1636 | gaia = 6320| TOP = 50000000
[###                                               ] 6% 240-241 | [-80]-[-79] | 18.75 s | join = 1902 | tmass = 1902 | gaia = 7506| TOP = 50000000
[###                                               ] 7% 240-241 | [-79]-[-78] | 57.03 s | join = 2314 | tmass = 2314 | gaia = 8860| TOP = 50000000
[###                                               ] 7% 240-241 | [-78]-[-77] | 24.78 s | join = 2657 | tmass = 2657 | gaia = 10277| TOP = 50000000
[###                                               ] 8% 240-241 | [-77]-[-76] | 67.78 s | join = 3040 | tmass = 3040 | gaia = 11858| TOP = 50000000
[####                                              ] 8% 240-241 | [-76]-[-75] | 20.84 s | join = 3583 | tmass = 3583 | gaia = 13600| TOP = 50000000
[####                                              ] 9% 240-241 | [-75]-[-74] | 18.77 s | join = 3939 | tmass = 3939 | gaia = 15590| TOP = 50000000
[####                                              ] 9% 240-241 | [-74]-[-73] | 27.55 s | join = 4474 | tmass = 4474 | gaia = 17761| TOP = 50000000
