
[#############                                     ] 28% 300-301 | [-41]-[-40] | 56.88 s | join = 5236 | tmass = 5236 | gaia = 19942| TOP = 50000000
[##############                                    ] 28% 300-301 | [-40]-[-39] | 19.87 s | join = 5575 | tmass = 5575 | gaia = 20594| TOP = 50000000
[##############                                    ] 29% 300-301 | [-39]-[-38] | 70.2 s | join = 5632 | tmass = 5632 | gaia = 21150| TOP = 50000000
[##############                                    ] 29% 300-301 | [-38]-[-37] | 24.83 s | join = 5611 | tmass = 5611 | gaia = 21588| TOP = 50000000
[###############                                   ] 30% 300-301 | [-37]-[-36] | 61.1 s | join = 5928 | tmass = 5928 | gaia = 22540| TOP = 50000000
[###############                                   ] 31% 300-301 | [-36]-[-35] | 78.62 s | join = 6346 | tmass = 6346 | gaia = 24395| TOP = 50000000
[###############                                   ] 31% 300-301 | [-35]-[-34] | 78.92 s | join = 6460 | tmass = 6460 | gaia = 25421| TOP = 50000000
[###############                                   ] 32% 300-301 | [-34]-[-33] | 24.64 s | join = 6574 | tmass = 6574 | gaia = 25925| TOP = 50000000
[################                                  ] 32% 300-301 | [-33]-[-32] | 83.64 s | join = 6555 | tmass = 6555 | gaia = 25925| TOP = 50000000
[################                                  ] 33% 300-301 | [-32]-[-31] | 25.27 s | join = 6518 | tmass = 6518 | gaia = 26094| TOP = 50000000
[################                                  ] 33% 300-301 | [-31]-[-30] | 23.2 s | join = 6988 | tmass = 6988 | gaia = 27855| TOP = 50000000
[################                                  ] 34% 300-301 | [-30]-[-29] | 76.33 s | join = 7789 | tmass = 7789 | gaia = 29866| TOP = 50000000
[#################                                 ] 34% 300-301 | [-29]-[-28] | 35.36 s | join = 7743 | tmass = 7743 | gaia = 30453| TOP = 50000000
[#################                                 ] 35% 300-301 | [-28]-[-27] | 27.62 s | join = 7810 | tmass = 7810 | gaia = 30693| TOP = 50000000
[#################                                 ] 36% 300-301 | [-27]-[-26] | 59.16 s | join = 8042 | tmass = 8042 | gaia = 31476| TOP = 50000000
[##################                                ] 36% 300-301 | [-26]-[-25] | 33.29 s | join = 8139 | tmass = 8139 | gaia = 32120| TOP = 50000000
[##################                                ] 37% 300-301 | [-25]-[-24] | 74.98 s | join = 8169 | tmass = 8169 | gaia = 32648| TOP = 50000000
[##################                                ] 37% 300-301 | [-24]-[-23] | 25.7 s | join = 8552 | tmass = 8552 | gaia = 33463| TOP = 50000000
[##################                                ] 38% 300-301 | [-23]-[-22] | 70.86 s | join = 8401 | tmass = 8401 | gaia = 34073| TOP = 50000000
[###################                               ] 38% 300-301 | [-22]-[-21] | 28.82 s | join = 8710 | tmass = 8710 | gaia = 34232| TOP = 50000000
[###################                               ] 39% 300-301 | [-21]-[-20] | 348.54 s | join = 8795 | tmass = 8795 | gaia = 34780| TOP = 50000000
[###################                               ] 39% 300-301 | [-20]-[-19] | 37.24 s | join = 9114 | tmass = 9114 | gaia = 35560| TOP = 50000000
[####################                              ] 40% 300-301 | [-19]-[-18] | 36.33 s | join = 9207 | tmass = 9207 | gaia = 36526| TOP = 50000000
[####################                              ] 41% 300-301 | [-18]-[-17] | 56.12 s | join = 9897 | tmass = 9897 | gaia = 37353| TOP = 50000000
[####################                              ] 41% 300-301 | [-17]-[-16] | 32.46 s | join = 10201 | tmass = 10201 | gaia = 38500| TOP = 50000000
[####################                              ] 42% 300-301 | [-16]-[-15] | 59.78 s | join = 10341 | tmass = 10341 | gaia = 39845| TOP = 50000000
[#####################                             ] 42% 300-301 | [-15]-[-14] | 33.21 s | join = 10541 | tmass = 10541 | gaia = 40364| TOP = 50000000
[#####################                             ] 43% 300-301 | [-14]-[-13] | 38.84 s | join = 10919 | tmass = 10919 | gaia = 41629| TOP = 50000000
[#####################                             ] 43% 300-301 | [-13]-[-12] | 58.2 s | join = 11155 | tmass = 11155 | gaia = 43472| TOP = 50000000
[#####################                             ] 44% 300-301 | [-12]-[-11] | 39.71 s | join = 11318 | tmass = 11318 | gaia = 44716| TOP = 50000000
[######################                            ] 44% 300-301 | [-11]-[-10] | 89.11 s | join = 11584 | tmass = 11584 | gaia = 45990| TOP = 50000000
[######################                            ] 45% 300-301 | [-10]-[-9] | 36.65 s | join = 12129 | tmass = 12129 | gaia = 47336| TOP = 50000000
[######################                            ] 46% 300-301 | [-9]-[-8] | 58.8 s | join = 12387 | tmass = 12387 | gaia = 49055| TOP = 50000000
[#######################                           ] 46% 300-301 | [-8]-[-7] | 89.38 s | join = 12541 | tmass = 12541 | gaia = 50657| TOP = 50000000
[#######################                           ] 47% 300-301 | [-7]-[-6] | 46.59 s | join = 13093 | tmass = 13093 | gaia = 50945| TOP = 50000000
[#######################                           ] 47% 300-301 | [-6]-[-5] | 76.93 s | join = 12089 | tmass = 12089 | gaia = 49046| TOP = 50000000
[#######################                           ] 48% 300-301 | [-5]-[-4] | 37.34 s | join = 12041 | tmass = 12041 | gaia = 47708| TOP = 50000000
[########################                          ] 48% 300-301 | [-4]-[-3] | 85.08 s | join = 12279 | tmass = 12279 | gaia = 48789| TOP = 50000000
[########################                          ] 49% 300-301 | [-3]-[-2] | 40.81 s | join = 12082 | tmass = 12082 | gaia = 49750| TOP = 50000000
[########################                          ] 49% 300-301 | [-2]-[-1] | 75.3 s | join = 13235 | tmass = 13235 | gaia = 53387| TOP = 50000000
[#########################                         ] 50% 300-301 | [-1]-[0] | 98.22 s | join = 14882 | tmass = 14882 | gaia = 59190| TOP = 50000000
[#########################                         ] 51% 300-301 | [0]-[1] | 87.9 s | join = 16343 | tmass = 16343 | gaia = 64436| TOP = 50000000
[#########################                         ] 51% 300-301 | [1]-[2] | 83.42 s | join = 17344 | tmass = 17344 | gaia = 69595| TOP = 50000000
[#########################                         ] 52% 300-301 | [2]-[3] | 70.76 s | join = 18199 | tmass = 18199 | gaia = 72758| TOP = 50000000
[##########################                        ] 52% 300-301 | [3]-[4] | 78.21 s | join = 18716 | tmass = 18716 | gaia = 75777| TOP = 50000000
[##########################                        ] 53% 300-301 | [4]-[5] | 73.18 s | join = 19735 | tmass = 19735 | gaia = 79251| TOP = 50000000
[##########################                        ] 53% 300-301 | [5]-[6] | 108.97 s | join = 20883 | tmass = 20883 | gaia = 83448| TOP = 50000000
[##########################                        ] 54% 300-301 | [6]-[7] | 98.81 s | join = 22486 | tmass = 22486 | gaia = 87799| TOP = 50000000
[###########################                       ] 54% 300-301 | [7]-[8] | 114.7 s | join = 23177 | tmass = 23177 | gaia = 91419| TOP = 50000000
[###########################                       ] 55% 300-301 | [8]-[9] | 94.2 s | join = 24574 | tmass = 24574 | gaia = 96316| TOP = 50000000
[###########################                       ] 56% 300-301 | [9]-[10] | 98.31 s | join = 25652 | tmass = 25652 | gaia = 100700| TOP = 50000000
[############################                      ] 56% 300-301 | [10]-[11] | 119.17 s | join = 26800 | tmass = 26800 | gaia = 105423| TOP = 50000000
[############################                      ] 57% 300-301 | [11]-[12] | 103.74 s | join = 28746 | tmass = 28746 | gaia = 112070| TOP = 50000000
[############################                      ] 57% 300-301 | [12]-[13] | 101.25 s | join = 29193 | tmass = 29193 | gaia = 117573| TOP = 50000000
[############################                      ] 58% 300-301 | [13]-[14] | 86.61 s | join = 30822 | tmass = 30822 | gaia = 122580| TOP = 50000000
[#############################                     ] 58% 300-301 | [14]-[15] | 85.9 s | join = 32258 | tmass = 32258 | gaia = 128812| TOP = 50000000
[#############################                     ] 59% 300-301 | [15]-[16] | 104.15 s | join = 34164 | tmass = 34164 | gaia = 136291| TOP = 50000000
[#############################                     ] 59% 300-301 | [16]-[17] | 106.19 s | join = 36141 | tmass = 36141 | gaia = 143941| TOP = 50000000
[##############################                    ] 60% 300-301 | [17]-[18] | 118.15 s | join = 37667 | tmass = 37667 | gaia = 149737| TOP = 50000000
[##############################                    ] 61% 300-301 | [18]-[19] | 112.52 s | join = 37813 | tmass = 37813 | gaia = 155378| TOP = 50000000
[##############################                    ] 61% 300-301 | [19]-[20] | 112.43 s | join = 41350 | tmass = 41350 | gaia = 165508| TOP = 50000000
[##############################                    ] 62% 300-301 | [20]-[21] | 125.83 s | join = 44502 | tmass = 44502 | gaia = 178090| TOP = 50000000
[###############################                   ] 62% 300-301 | [21]-[22] | 115.33 s | join = 47674 | tmass = 47674 | gaia = 188349| TOP = 50000000
[###############################                   ] 63% 300-301 | [22]-[23] | 147.98 s | join = 48830 | tmass = 48830 | gaia = 192071| TOP = 50000000
[###############################                   ] 63% 300-301 | [23]-[24] | 105.55 s | join = 46552 | tmass = 46552 | gaia = 184734| TOP = 50000000
[###############################                   ] 64% 300-301 | [24]-[25] | 107.74 s | join = 45794 | tmass = 45794 | gaia = 182672| TOP = 50000000
[################################                  ] 64% 300-301 | [25]-[26] | 104.08 s | join = 48032 | tmass = 48032 | gaia = 191731| TOP = 50000000
[################################                  ] 65% 300-301 | [26]-[27] | 110.84 s | join = 54510 | tmass = 54510 | gaia = 205891| TOP = 50000000
[################################                  ] 66% 300-301 | [27]-[28] | 180.22 s | join = 56851 | tmass = 56851 | gaia = 222715| TOP = 50000000
[#################################                 ] 66% 300-301 | [28]-[29] | 153.69 s | join = 61194 | tmass = 61194 | gaia = 229859| TOP = 50000000
[#################################                 ] 67% 300-301 | [29]-[30] | 176.8 s | join = 65224 | tmass = 65224 | gaia = 247248| TOP = 50000000
[#################################                 ] 67% 300-301 | [30]-[31] | 178.45 s | join = 73212 | tmass = 73212 | gaia = 266418| TOP = 50000000
[#################################                 ] 68% 300-301 | [31]-[32] | 149.29 s | join = 73294 | tmass = 73294 | gaia = 264701| TOP = 50000000
[##################################                ] 68% 300-301 | [32]-[33] | 145.59 s | join = 68399 | tmass = 68399 | gaia = 224085| TOP = 50000000
[##################################                ] 69% 300-301 | [33]-[34] | 174.75 s | join = 67896 | tmass = 67896 | gaia = 249072| TOP = 50000000
[##################################                ] 69% 300-301 | [34]-[35] | 153.97 s | join = 58724 | tmass = 58724 | gaia = 224081| TOP = 50000000
[###################################               ] 70% 300-301 | [35]-[36] | 121.63 s | join = 53556 | tmass = 53556 | gaia = 208229| TOP = 50000000
[###################################               ] 71% 300-301 | [36]-[37] | 124.81 s | join = 50447 | tmass = 50447 | gaia = 205207| TOP = 50000000
[###################################               ] 71% 300-301 | [37]-[38] | 123.14 s | join = 46245 | tmass = 46245 | gaia = 188368| TOP = 50000000
[###################################               ] 72% 300-301 | [38]-[39] | 110.44 s | join = 41519 | tmass = 41519 | gaia = 170878| TOP = 50000000
[####################################              ] 72% 300-301 | [39]-[40] | 100.55 s | join = 37802 | tmass = 37802 | gaia = 156177| TOP = 50000000
[####################################              ] 73% 300-301 | [40]-[41] | 82.71 s | join = 32550 | tmass = 32550 | gaia = 136238| TOP = 50000000
[####################################              ] 73% 300-301 | [41]-[42] | 102.24 s | join = 26323 | tmass = 26323 | gaia = 113960| TOP = 50000000
[####################################              ] 74% 300-301 | [42]-[43] | 103.07 s | join = 22714 | tmass = 22714 | gaia = 95737| TOP = 50000000
[#####################################             ] 74% 300-301 | [43]-[44] | 73.11 s | join = 18791 | tmass = 18791 | gaia = 82959| TOP = 50000000
[#####################################             ] 75% 300-301 | [44]-[45] | 90.09 s | join = 17424 | tmass = 17424 | gaia = 74258| TOP = 50000000
[#####################################             ] 76% 300-301 | [45]-[46] | 46.04 s | join = 15854 | tmass = 15854 | gaia = 67604| TOP = 50000000
[######################################            ] 76% 300-301 | [46]-[47] | 76.15 s | join = 14998 | tmass = 14998 | gaia = 62818| TOP = 50000000
[######################################            ] 77% 300-301 | [47]-[48] | 43.58 s | join = 13919 | tmass = 13919 | gaia = 58931| TOP = 50000000
[######################################            ] 77% 300-301 | [48]-[49] | 79.28 s | join = 14559 | tmass = 14559 | gaia = 56422| TOP = 50000000
[######################################            ] 78% 300-301 | [49]-[50] | 94.13 s | join = 13638 | tmass = 13638 | gaia = 52985| TOP = 50000000
[#######################################           ] 78% 300-301 | [50]-[51] | 83.32 s | join = 12425 | tmass = 12425 | gaia = 48287| TOP = 50000000
[#######################################           ] 79% 300-301 | [51]-[52] | 35.37 s | join = 11323 | tmass = 11323 | gaia = 43624| TOP = 50000000
[#######################################           ] 79% 300-301 | [52]-[53] | 53.96 s | join = 10160 | tmass = 10160 | gaia = 39024| TOP = 50000000
[########################################          ] 80% 300-301 | [53]-[54] | 34.46 s | join = 9020 | tmass = 9020 | gaia = 35518| TOP = 50000000
[########################################          ] 81% 300-301 | [54]-[55] | 74.72 s | join = 8467 | tmass = 8467 | gaia = 33290| TOP = 50000000
[########################################          ] 81% 300-301 | [55]-[56] | 25.16 s | join = 7866 | tmass = 7866 | gaia = 30904| TOP = 50000000
[########################################          ] 82% 300-301 | [56]-[57] | 26.61 s | join = 7142 | tmass = 7142 | gaia = 28506| TOP = 50000000
[#########################################         ] 82% 300-301 | [57]-[58] | 54.38 s | join = 6667 | tmass = 6667 | gaia = 26534| TOP = 50000000
[#########################################         ] 83% 300-301 | [58]-[59] | 21.42 s | join = 6241 | tmass = 6241 | gaia = 24612| TOP = 50000000
[#########################################         ] 83% 300-301 | [59]-[60] | 63.8 s | join = 5917 | tmass = 5917 | gaia = 22385| TOP = 50000000
[#########################################         ] 84% 300-301 | [60]-[61] | 18.92 s | join = 4795 | tmass = 4795 | gaia = 19730| TOP = 50000000
[##########################################        ] 84% 300-301 | [61]-[62] | 64.16 s | join = 4349 | tmass = 4349 | gaia = 17552| TOP = 50000000
[##########################################        ] 85% 300-301 | [62]-[63] | 19.59 s | join = 4018 | tmass = 4018 | gaia = 16054| TOP = 50000000
[##########################################        ] 86% 300-301 | [63]-[64] | 67.13 s | join = 3691 | tmass = 3691 | gaia = 14595| TOP = 50000000
[###########################################       ] 86% 300-301 | [64]-[65] | 22.92 s | join = 3325 | tmass = 3325 | gaia = 13224| TOP = 50000000
[###########################################       ] 87% 300-301 | [65]-[66] | 20.4 s | join = 2976 | tmass = 2976 | gaia = 11784| TOP = 50000000
[###########################################       ] 87% 300-301 | [66]-[67] | 70.89 s | join = 2567 | tmass = 2567 | gaia = 10250| TOP = 50000000
[###########################################       ] 88% 300-301 | [67]-[68] | 14.08 s | join = 2238 | tmass = 2238 | gaia = 9114| TOP = 50000000
