
[##################################################] 100% 327-328 | [20]-[30] | 150.68 s | join = 61016 | tmass = 61016 | gaia = 225581| TOP = 50000000
[################                                  ] 33% 328-329 | [0]-[10] | 85.99 s | join = 34576 | tmass = 34576 | gaia = 137437| TOP = 50000000
[#################################                 ] 67% 328-329 | [10]-[20] | 115.76 s | join = 44347 | tmass = 44347 | gaia = 174716| TOP = 50000000
[##################################################] 100% 328-329 | [20]-[30] | 138.06 s | join = 58848 | tmass = 58848 | gaia = 238997| TOP = 50000000
[################                                  ] 33% 329-330 | [0]-[10] | 80.97 s | join = 34235 | tmass = 34235 | gaia = 135069| TOP = 50000000
[#################################                 ] 67% 329-330 | [10]-[20] | 110.28 s | join = 40983 | tmass = 40983 | gaia = 167095| TOP = 50000000
[##################################################] 100% 329-330 | [20]-[30] | 129.76 s | join = 54017 | tmass = 54017 | gaia = 227599| TOP = 50000000
[################                                  ] 33% 330-331 | [0]-[10] | 78.11 s | join = 35008 | tmass = 35008 | gaia = 130427| TOP = 50000000
[#################################                 ] 67% 330-331 | [10]-[20] | 87.59 s | join = 41794 | tmass = 41794 | gaia = 160323| TOP = 50000000
[##################################################] 100% 330-331 | [20]-[30] | 121.26 s | join = 50288 | tmass = 50288 | gaia = 220239| TOP = 50000000
[################                                  ] 33% 331-332 | [0]-[10] | 70.49 s | join = 31320 | tmass = 31320 | gaia = 123861| TOP = 50000000
[#################################                 ] 67% 331-332 | [10]-[20] | 85.18 s | join = 39125 | tmass = 39125 | gaia = 153950| TOP = 50000000
[##################################################] 100% 331-332 | [20]-[30] | 145.84 s | join = 49759 | tmass = 49759 | gaia = 213646| TOP = 50000000
[################                                  ] 33% 332-333 | [0]-[10] | 69.04 s | join = 30227 | tmass = 30227 | gaia = 117069| TOP = 50000000
[#################################                 ] 67% 332-333 | [10]-[20] | 81.93 s | join = 37601 | tmass = 37601 | gaia = 145960| TOP = 50000000
[##################################################] 100% 332-333 | [20]-[30] | 115.91 s | join = 46258 | tmass = 46258 | gaia = 200958| TOP = 50000000
[################                                  ] 33% 333-334 | [0]-[10] | 67.63 s | join = 29264 | tmass = 29264 | gaia = 114620| TOP = 50000000
[#################################                 ] 67% 333-334 | [10]-[20] | 82.72 s | join = 34572 | tmass = 34572 | gaia = 139155| TOP = 50000000
[##################################################] 100% 333-334 | [20]-[30] | 119.05 s | join = 44872 | tmass = 44872 | gaia = 187515| TOP = 50000000
[################                                  ] 33% 334-335 | [0]-[10] | 65.18 s | join = 28847 | tmass = 28847 | gaia = 112289| TOP = 50000000
[#################################                 ] 67% 334-335 | [10]-[20] | 104.07 s | join = 34068 | tmass = 34068 | gaia = 133720| TOP = 50000000
[##################################################] 100% 334-335 | [20]-[30] | 108.44 s | join = 43561 | tmass = 43561 | gaia = 181431| TOP = 50000000
[################                                  ] 33% 335-336 | [0]-[10] | 64.3 s | join = 27356 | tmass = 27356 | gaia = 108257| TOP = 50000000
[#################################                 ] 67% 335-336 | [10]-[20] | 77.8 s | join = 31985 | tmass = 31985 | gaia = 129173| TOP = 50000000
[##################################################] 100% 335-336 | [20]-[30] | 99.79 s | join = 41352 | tmass = 41352 | gaia = 178825| TOP = 50000000
[################                                  ] 33% 336-337 | [0]-[10] | 78.63 s | join = 26613 | tmass = 26613 | gaia = 106510| TOP = 50000000
[#################################                 ] 67% 336-337 | [10]-[20] | 77.99 s | join = 32794 | tmass = 32794 | gaia = 128335| TOP = 50000000
[##################################################] 100% 336-337 | [20]-[30] | 111.2 s | join = 42436 | tmass = 42436 | gaia = 171692| TOP = 50000000
[################                                  ] 33% 337-338 | [0]-[10] | 63.27 s | join = 27631 | tmass = 27631 | gaia = 105403| TOP = 50000000
[#################################                 ] 67% 337-338 | [10]-[20] | 70.17 s | join = 32522 | tmass = 32522 | gaia = 127274| TOP = 50000000
[##################################################] 100% 337-338 | [20]-[30] | 93.33 s | join = 40760 | tmass = 40760 | gaia = 164542| TOP = 50000000
[################                                  ] 33% 338-339 | [0]-[10] | 65.04 s | join = 27397 | tmass = 27397 | gaia = 100964| TOP = 50000000
[#################################                 ] 67% 338-339 | [10]-[20] | 73.9 s | join = 30609 | tmass = 30609 | gaia = 120772| TOP = 50000000
[##################################################] 100% 338-339 | [20]-[30] | 97.36 s | join = 41120 | tmass = 41120 | gaia = 160828| TOP = 50000000
[################                                  ] 33% 339-340 | [0]-[10] | 73.15 s | join = 26102 | tmass = 26102 | gaia = 98674| TOP = 50000000
[#################################                 ] 67% 339-340 | [10]-[20] | 70.73 s | join = 28891 | tmass = 28891 | gaia = 115358| TOP = 50000000
[##################################################] 100% 339-340 | [20]-[30] | 93.32 s | join = 36956 | tmass = 36956 | gaia = 156253| TOP = 50000000
[################                                  ] 33% 340-341 | [0]-[10] | 57.26 s | join = 24361 | tmass = 24361 | gaia = 95376| TOP = 50000000
[#################################                 ] 67% 340-341 | [10]-[20] | 65.87 s | join = 27484 | tmass = 27484 | gaia = 110289| TOP = 50000000
[##################################################] 100% 340-341 | [20]-[30] | 99.07 s | join = 36988 | tmass = 36988 | gaia = 151609| TOP = 50000000
[################                                  ] 33% 341-342 | [0]-[10] | 55.36 s | join = 23010 | tmass = 23010 | gaia = 92143| TOP = 50000000
[#################################                 ] 67% 341-342 | [10]-[20] | 62.8 s | join = 27479 | tmass = 27479 | gaia = 106386| TOP = 50000000
[##################################################] 100% 341-342 | [20]-[30] | 115.53 s | join = 34316 | tmass = 34316 | gaia = 142440| TOP = 50000000
[################                                  ] 33% 342-343 | [0]-[10] | 60.96 s | join = 23328 | tmass = 23328 | gaia = 91371| TOP = 50000000
[#################################                 ] 67% 342-343 | [10]-[20] | 109.46 s | join = 27845 | tmass = 27845 | gaia = 105292| TOP = 50000000
[##################################################] 100% 342-343 | [20]-[30] | 85.86 s | join = 33031 | tmass = 33031 | gaia = 134445| TOP = 50000000
[################                                  ] 33% 343-344 | [0]-[10] | 56.92 s | join = 22588 | tmass = 22588 | gaia = 88086| TOP = 50000000
[#################################                 ] 67% 343-344 | [10]-[20] | 66.04 s | join = 27397 | tmass = 27397 | gaia = 102789| TOP = 50000000
[##################################################] 100% 343-344 | [20]-[30] | 76.75 s | join = 32354 | tmass = 32354 | gaia = 131435| TOP = 50000000
[################                                  ] 33% 344-345 | [0]-[10] | 50.48 s | join = 22279 | tmass = 22279 | gaia = 84669| TOP = 50000000
[#################################                 ] 67% 344-345 | [10]-[20] | 73.18 s | join = 25389 | tmass = 25389 | gaia = 99644| TOP = 50000000
[##################################################] 100% 344-345 | [20]-[30] | 74.92 s | join = 31574 | tmass = 31574 | gaia = 128644| TOP = 50000000
[################                                  ] 33% 345-346 | [0]-[10] | 48.58 s | join = 21732 | tmass = 21732 | gaia = 82157| TOP = 50000000
[#################################                 ] 67% 345-346 | [10]-[20] | 69.13 s | join = 26532 | tmass = 26532 | gaia = 99736| TOP = 50000000
[##################################################] 100% 345-346 | [20]-[30] | 75.2 s | join = 33163 | tmass = 33163 | gaia = 128817| TOP = 50000000
[################                                  ] 33% 346-347 | [0]-[10] | 59.25 s | join = 21413 | tmass = 21413 | gaia = 79825| TOP = 50000000
[#################################                 ] 67% 346-347 | [10]-[20] | 62.33 s | join = 25445 | tmass = 25445 | gaia = 97008| TOP = 50000000
[##################################################] 100% 346-347 | [20]-[30] | 84.23 s | join = 32263 | tmass = 32263 | gaia = 126661| TOP = 50000000
[################                                  ] 33% 347-348 | [0]-[10] | 58.69 s | join = 20695 | tmass = 20695 | gaia = 78419| TOP = 50000000
[#################################                 ] 67% 347-348 | [10]-[20] | 57.82 s | join = 23919 | tmass = 23919 | gaia = 93366| TOP = 50000000
[##################################################] 100% 347-348 | [20]-[30] | 114.53 s | join = 29426 | tmass = 29426 | gaia = 121243| TOP = 50000000
[################                                  ] 33% 348-349 | [0]-[10] | 48.67 s | join = 20731 | tmass = 20731 | gaia = 77497| TOP = 50000000
[#################################                 ] 67% 348-349 | [10]-[20] | 53.73 s | join = 24334 | tmass = 24334 | gaia = 92686| TOP = 50000000
[##################################################] 100% 348-349 | [20]-[30] | 74.55 s | join = 29879 | tmass = 29879 | gaia = 120124| TOP = 50000000
[################                                  ] 33% 349-350 | [0]-[10] | 90.42 s | join = 20136 | tmass = 20136 | gaia = 75175| TOP = 50000000
[#################################                 ] 67% 349-350 | [10]-[20] | 56.75 s | join = 22891 | tmass = 22891 | gaia = 89739| TOP = 50000000
[##################################################] 100% 349-350 | [20]-[30] | 70.68 s | join = 30349 | tmass = 30349 | gaia = 119813| TOP = 50000000
[################                                  ] 33% 350-351 | [0]-[10] | 56.39 s | join = 19507 | tmass = 19507 | gaia = 72915| TOP = 50000000
