
[#############                                     ] 28% 330-331 | [-41]-[-40] | 12.4 s | join = 1778 | tmass = 1778 | gaia = 7308| TOP = 50000000
[##############                                    ] 28% 330-331 | [-40]-[-39] | 14.97 s | join = 1972 | tmass = 1972 | gaia = 7347| TOP = 50000000
[##############                                    ] 29% 330-331 | [-39]-[-38] | 12.29 s | join = 1842 | tmass = 1842 | gaia = 7098| TOP = 50000000
[##############                                    ] 29% 330-331 | [-38]-[-37] | 18.13 s | join = 1793 | tmass = 1793 | gaia = 7143| TOP = 50000000
[###############                                   ] 30% 330-331 | [-37]-[-36] | 18.45 s | join = 1916 | tmass = 1916 | gaia = 7401| TOP = 50000000
[###############                                   ] 31% 330-331 | [-36]-[-35] | 49.02 s | join = 1864 | tmass = 1864 | gaia = 7440| TOP = 50000000
[###############                                   ] 31% 330-331 | [-35]-[-34] | 18.6 s | join = 1845 | tmass = 1845 | gaia = 7492| TOP = 50000000
[###############                                   ] 32% 330-331 | [-34]-[-33] | 16.27 s | join = 2023 | tmass = 2023 | gaia = 7579| TOP = 50000000
[################                                  ] 32% 330-331 | [-33]-[-32] | 15.4 s | join = 1998 | tmass = 1998 | gaia = 7721| TOP = 50000000
[################                                  ] 33% 330-331 | [-32]-[-31] | 61.88 s | join = 1988 | tmass = 1988 | gaia = 7801| TOP = 50000000
[################                                  ] 33% 330-331 | [-31]-[-30] | 18.95 s | join = 2021 | tmass = 2021 | gaia = 7993| TOP = 50000000
[################                                  ] 34% 330-331 | [-30]-[-29] | 13.44 s | join = 2359 | tmass = 2359 | gaia = 8475| TOP = 50000000
[#################                                 ] 34% 330-331 | [-29]-[-28] | 60.04 s | join = 2349 | tmass = 2349 | gaia = 8591| TOP = 50000000
[#################                                 ] 35% 330-331 | [-28]-[-27] | 13.33 s | join = 2277 | tmass = 2277 | gaia = 8436| TOP = 50000000
[#################                                 ] 36% 330-331 | [-27]-[-26] | 15.77 s | join = 2253 | tmass = 2253 | gaia = 8454| TOP = 50000000
[##################                                ] 36% 330-331 | [-26]-[-25] | 60.98 s | join = 2404 | tmass = 2404 | gaia = 8561| TOP = 50000000
[##################                                ] 37% 330-331 | [-25]-[-24] | 15.54 s | join = 2270 | tmass = 2270 | gaia = 8629| TOP = 50000000
[##################                                ] 37% 330-331 | [-24]-[-23] | 70.18 s | join = 2232 | tmass = 2232 | gaia = 8663| TOP = 50000000
[##################                                ] 38% 330-331 | [-23]-[-22] | 15.98 s | join = 2243 | tmass = 2243 | gaia = 8827| TOP = 50000000
[###################                               ] 38% 330-331 | [-22]-[-21] | 62.32 s | join = 2246 | tmass = 2246 | gaia = 8968| TOP = 50000000
[###################                               ] 39% 330-331 | [-21]-[-20] | 20.55 s | join = 2170 | tmass = 2170 | gaia = 9067| TOP = 50000000
[###################                               ] 39% 330-331 | [-20]-[-19] | 55.71 s | join = 2271 | tmass = 2271 | gaia = 9205| TOP = 50000000
[####################                              ] 40% 330-331 | [-19]-[-18] | 15.98 s | join = 2391 | tmass = 2391 | gaia = 9516| TOP = 50000000
[####################                              ] 41% 330-331 | [-18]-[-17] | 13.53 s | join = 2534 | tmass = 2534 | gaia = 9793| TOP = 50000000
[####################                              ] 41% 330-331 | [-17]-[-16] | 15.93 s | join = 2575 | tmass = 2575 | gaia = 9638| TOP = 50000000
[####################                              ] 42% 330-331 | [-16]-[-15] | 65.63 s | join = 2528 | tmass = 2528 | gaia = 9668| TOP = 50000000
[#####################                             ] 42% 330-331 | [-15]-[-14] | 13.98 s | join = 2661 | tmass = 2661 | gaia = 10027| TOP = 50000000
[#####################                             ] 43% 330-331 | [-14]-[-13] | 22.84 s | join = 2666 | tmass = 2666 | gaia = 9947| TOP = 50000000
[#####################                             ] 43% 330-331 | [-13]-[-12] | 19.89 s | join = 2558 | tmass = 2558 | gaia = 9724| TOP = 50000000
[#####################                             ] 44% 330-331 | [-12]-[-11] | 67.86 s | join = 2469 | tmass = 2469 | gaia = 9770| TOP = 50000000
[######################                            ] 44% 330-331 | [-11]-[-10] | 14.09 s | join = 2627 | tmass = 2627 | gaia = 10131| TOP = 50000000
[######################                            ] 45% 330-331 | [-10]-[-9] | 16.34 s | join = 2701 | tmass = 2701 | gaia = 10149| TOP = 50000000
[######################                            ] 46% 330-331 | [-9]-[-8] | 16.28 s | join = 2641 | tmass = 2641 | gaia = 9969| TOP = 50000000
[#######################                           ] 46% 330-331 | [-8]-[-7] | 17.7 s | join = 2570 | tmass = 2570 | gaia = 10238| TOP = 50000000
[#######################                           ] 47% 330-331 | [-7]-[-6] | 60.03 s | join = 2731 | tmass = 2731 | gaia = 10510| TOP = 50000000
[#######################                           ] 47% 330-331 | [-6]-[-5] | 13.71 s | join = 2776 | tmass = 2776 | gaia = 10701| TOP = 50000000
[#######################                           ] 48% 330-331 | [-5]-[-4] | 16.47 s | join = 2744 | tmass = 2744 | gaia = 10775| TOP = 50000000
[########################                          ] 48% 330-331 | [-4]-[-3] | 16.52 s | join = 2769 | tmass = 2769 | gaia = 10713| TOP = 50000000
[########################                          ] 49% 330-331 | [-3]-[-2] | 54.32 s | join = 2767 | tmass = 2767 | gaia = 10733| TOP = 50000000
[########################                          ] 49% 330-331 | [-2]-[-1] | 23.84 s | join = 2923 | tmass = 2923 | gaia = 11020| TOP = 50000000
[#########################                         ] 50% 330-331 | [-1]-[0] | 14.31 s | join = 3017 | tmass = 3017 | gaia = 11613| TOP = 50000000
[#########################                         ] 51% 330-331 | [0]-[1] | 63.66 s | join = 3360 | tmass = 3360 | gaia = 11975| TOP = 50000000
[#########################                         ] 51% 330-331 | [1]-[2] | 14.32 s | join = 3398 | tmass = 3398 | gaia = 12158| TOP = 50000000
[#########################                         ] 52% 330-331 | [2]-[3] | 361.33 s | join = 3438 | tmass = 3438 | gaia = 12368| TOP = 50000000
[##########################                        ] 52% 330-331 | [3]-[4] | 38.27 s | join = 3392 | tmass = 3392 | gaia = 12453| TOP = 50000000
[##########################                        ] 53% 330-331 | [4]-[5] | 19.37 s | join = 3556 | tmass = 3556 | gaia = 12678| TOP = 50000000
[##########################                        ] 53% 330-331 | [5]-[6] | 17.82 s | join = 3653 | tmass = 3653 | gaia = 13118| TOP = 50000000
[##########################                        ] 54% 330-331 | [6]-[7] | 55.26 s | join = 3514 | tmass = 3514 | gaia = 13399| TOP = 50000000
[###########################                       ] 54% 330-331 | [7]-[8] | 22.8 s | join = 3463 | tmass = 3463 | gaia = 13590| TOP = 50000000
[###########################                       ] 55% 330-331 | [8]-[9] | 69.76 s | join = 3627 | tmass = 3627 | gaia = 14013| TOP = 50000000
[###########################                       ] 56% 330-331 | [9]-[10] | 18.47 s | join = 3607 | tmass = 3607 | gaia = 14357| TOP = 50000000
[############################                      ] 56% 330-331 | [10]-[11] | 16.26 s | join = 3765 | tmass = 3765 | gaia = 14773| TOP = 50000000
[############################                      ] 57% 330-331 | [11]-[12] | 16.28 s | join = 3971 | tmass = 3971 | gaia = 15086| TOP = 50000000
[############################                      ] 57% 330-331 | [12]-[13] | 19.07 s | join = 4010 | tmass = 4010 | gaia = 15098| TOP = 50000000
[############################                      ] 58% 330-331 | [13]-[14] | 59.22 s | join = 4075 | tmass = 4075 | gaia = 15320| TOP = 50000000
[#############################                     ] 58% 330-331 | [14]-[15] | 24.65 s | join = 4211 | tmass = 4211 | gaia = 15800| TOP = 50000000
[#############################                     ] 59% 330-331 | [15]-[16] | 19.63 s | join = 4296 | tmass = 4296 | gaia = 16259| TOP = 50000000
[#############################                     ] 59% 330-331 | [16]-[17] | 16.7 s | join = 4507 | tmass = 4507 | gaia = 16673| TOP = 50000000
[##############################                    ] 60% 330-331 | [17]-[18] | 68.73 s | join = 4546 | tmass = 4546 | gaia = 16647| TOP = 50000000
[##############################                    ] 61% 330-331 | [18]-[19] | 16.14 s | join = 4121 | tmass = 4121 | gaia = 16609| TOP = 50000000
[##############################                    ] 61% 330-331 | [19]-[20] | 76.41 s | join = 4292 | tmass = 4292 | gaia = 17104| TOP = 50000000
[##############################                    ] 62% 330-331 | [20]-[21] | 16.95 s | join = 4360 | tmass = 4360 | gaia = 17379| TOP = 50000000
[###############################                   ] 62% 330-331 | [21]-[22] | 19.98 s | join = 4469 | tmass = 4469 | gaia = 17790| TOP = 50000000
[###############################                   ] 63% 330-331 | [22]-[23] | 55.84 s | join = 4717 | tmass = 4717 | gaia = 18568| TOP = 50000000
[###############################                   ] 63% 330-331 | [23]-[24] | 34.0 s | join = 4945 | tmass = 4945 | gaia = 19221| TOP = 50000000
[###############################                   ] 64% 330-331 | [24]-[25] | 28.67 s | join = 4849 | tmass = 4849 | gaia = 19647| TOP = 50000000
[################################                  ] 64% 330-331 | [25]-[26] | 60.11 s | join = 5009 | tmass = 5009 | gaia = 20103| TOP = 50000000
[################################                  ] 65% 330-331 | [26]-[27] | 21.66 s | join = 5134 | tmass = 5134 | gaia = 20705| TOP = 50000000
[################################                  ] 66% 330-331 | [27]-[28] | 22.18 s | join = 5260 | tmass = 5260 | gaia = 21189| TOP = 50000000
[#################################                 ] 66% 330-331 | [28]-[29] | 22.66 s | join = 5556 | tmass = 5556 | gaia = 22264| TOP = 50000000
[#################################                 ] 67% 330-331 | [29]-[30] | 57.09 s | join = 5989 | tmass = 5989 | gaia = 24677| TOP = 50000000
[#################################                 ] 67% 330-331 | [30]-[31] | 29.39 s | join = 7293 | tmass = 7293 | gaia = 27841| TOP = 50000000
