
[#########################################         ] 83% 67-68 | [50]-[60] | 57.26 s | join = 9131 | tmass = 9131 | gaia = 84483| TOP = 201388
[############################################      ] 89% 67-68 | [60]-[70] | 54.3 s | join = 4046 | tmass = 4046 | gaia = 59872| TOP = 168966
[###############################################   ] 94% 67-68 | [70]-[80] | 36.98 s | join = 1742 | tmass = 1742 | gaia = 33154| TOP = 119744
[##################################################] 100% 67-68 | [80]-[90] | 14.81 s | join = 431 | tmass = 431 | gaia = 10815| TOP = 66308
[##                                                ] 6% 68-69 | [-90]-[-80] | 18.34 s | join = 419 | tmass = 419 | gaia = 8804| TOP = 50000
[#####                                             ] 11% 68-69 | [-80]-[-70] | 32.96 s | join = 1072 | tmass = 1072 | gaia = 19937| TOP = 50000
[########                                          ] 17% 68-69 | [-70]-[-60] | 32.73 s | join = 1514 | tmass = 1514 | gaia = 27874| TOP = 50000
[###########                                       ] 22% 68-69 | [-60]-[-50] | 27.68 s | join = 1728 | tmass = 1728 | gaia = 32977| TOP = 55748
[#############                                     ] 28% 68-69 | [-50]-[-40] | 31.22 s | join = 1948 | tmass = 1948 | gaia = 37598| TOP = 65954
[################                                  ] 33% 68-69 | [-40]-[-30] | 40.39 s | join = 2190 | tmass = 2190 | gaia = 41884| TOP = 75196
[###################                               ] 39% 68-69 | [-30]-[-20] | 47.55 s | join = 2448 | tmass = 2448 | gaia = 44294| TOP = 83768
[######################                            ] 44% 68-69 | [-20]-[-10] | 33.22 s | join = 2840 | tmass = 2840 | gaia = 46660| TOP = 88588
[#########################                         ] 50% 68-69 | [-10]-[0] | 43.61 s | join = 3460 | tmass = 3460 | gaia = 50922| TOP = 93320
[###########################                       ] 56% 68-69 | [0]-[10] | 46.85 s | join = 3831 | tmass = 3831 | gaia = 55355| TOP = 101844
[##############################                    ] 61% 68-69 | [10]-[20] | 43.83 s | join = 4399 | tmass = 4399 | gaia = 57918| TOP = 110710
[#################################                 ] 67% 68-69 | [20]-[30] | 49.25 s | join = 5269 | tmass = 5269 | gaia = 65636| TOP = 115836
[####################################              ] 72% 68-69 | [30]-[40] | 63.76 s | join = 8367 | tmass = 8367 | gaia = 90983| TOP = 131272
[######################################            ] 78% 68-69 | [40]-[50] | 107.77 s | join = 12079 | tmass = 12079 | gaia = 101051| TOP = 181966
[#########################################         ] 83% 68-69 | [50]-[60] | 62.52 s | join = 8510 | tmass = 8510 | gaia = 82624| TOP = 202102
[############################################      ] 89% 68-69 | [60]-[70] | 53.41 s | join = 4044 | tmass = 4044 | gaia = 59624| TOP = 165248
[###############################################   ] 94% 68-69 | [70]-[80] | 33.58 s | join = 1828 | tmass = 1828 | gaia = 33218| TOP = 119248
[##################################################] 100% 68-69 | [80]-[90] | 27.28 s | join = 420 | tmass = 420 | gaia = 10875| TOP = 66436
[##                                                ] 6% 69-70 | [-90]-[-80] | 14.36 s | join = 395 | tmass = 395 | gaia = 9069| TOP = 50000
[#####                                             ] 11% 69-70 | [-80]-[-70] | 20.64 s | join = 1245 | tmass = 1245 | gaia = 20175| TOP = 50000
[########                                          ] 17% 69-70 | [-70]-[-60] | 42.82 s | join = 1602 | tmass = 1602 | gaia = 27749| TOP = 50000
[###########                                       ] 22% 69-70 | [-60]-[-50] | 26.39 s | join = 1647 | tmass = 1647 | gaia = 33281| TOP = 55498
[#############                                     ] 28% 69-70 | [-50]-[-40] | 30.11 s | join = 2022 | tmass = 2022 | gaia = 37992| TOP = 66562
[################                                  ] 33% 69-70 | [-40]-[-30] | 38.94 s | join = 2282 | tmass = 2282 | gaia = 42484| TOP = 75984
[###################                               ] 39% 69-70 | [-30]-[-20] | 43.87 s | join = 2562 | tmass = 2562 | gaia = 45730| TOP = 84968
[######################                            ] 44% 69-70 | [-20]-[-10] | 46.76 s | join = 2784 | tmass = 2784 | gaia = 48012| TOP = 91460
[#########################                         ] 50% 69-70 | [-10]-[0] | 42.83 s | join = 3627 | tmass = 3627 | gaia = 53613| TOP = 96024
[###########################                       ] 56% 69-70 | [0]-[10] | 50.76 s | join = 4162 | tmass = 4162 | gaia = 59069| TOP = 107226
[##############################                    ] 61% 69-70 | [10]-[20] | 56.38 s | join = 4599 | tmass = 4599 | gaia = 62068| TOP = 118138
[#################################                 ] 67% 69-70 | [20]-[30] | 51.96 s | join = 5849 | tmass = 5849 | gaia = 66538| TOP = 124136
[####################################              ] 72% 69-70 | [30]-[40] | 69.13 s | join = 8405 | tmass = 8405 | gaia = 90115| TOP = 133076
[######################################            ] 78% 69-70 | [40]-[50] | 70.08 s | join = 12187 | tmass = 12187 | gaia = 100420| TOP = 180230
[#########################################         ] 83% 69-70 | [50]-[60] | 66.42 s | join = 8290 | tmass = 8290 | gaia = 80625| TOP = 200840
[############################################      ] 89% 69-70 | [60]-[70] | 39.98 s | join = 3927 | tmass = 3927 | gaia = 59151| TOP = 161250
[###############################################   ] 94% 69-70 | [70]-[80] | 33.18 s | join = 1726 | tmass = 1726 | gaia = 33223| TOP = 118302
[##################################################] 100% 69-70 | [80]-[90] | 19.16 s | join = 466 | tmass = 466 | gaia = 10806| TOP = 66446
[##                                                ] 6% 70-71 | [-90]-[-80] | 18.09 s | join = 414 | tmass = 414 | gaia = 9201| TOP = 50000
[#####                                             ] 11% 70-71 | [-80]-[-70] | 20.14 s | join = 1305 | tmass = 1305 | gaia = 20114| TOP = 50000
[########                                          ] 17% 70-71 | [-70]-[-60] | 24.19 s | join = 1858 | tmass = 1858 | gaia = 28057| TOP = 50000
[###########                                       ] 22% 70-71 | [-60]-[-50] | 35.13 s | join = 1723 | tmass = 1723 | gaia = 34245| TOP = 56114
[#############                                     ] 28% 70-71 | [-50]-[-40] | 34.25 s | join = 2004 | tmass = 2004 | gaia = 38940| TOP = 68490
[################                                  ] 33% 70-71 | [-40]-[-30] | 36.79 s | join = 2303 | tmass = 2303 | gaia = 43781| TOP = 77880
[###################                               ] 39% 70-71 | [-30]-[-20] | 34.11 s | join = 2589 | tmass = 2589 | gaia = 47584| TOP = 87562
[######################                            ] 44% 70-71 | [-20]-[-10] | 46.5 s | join = 2840 | tmass = 2840 | gaia = 49965| TOP = 95168
[#########################                         ] 50% 70-71 | [-10]-[0] | 49.29 s | join = 3623 | tmass = 3623 | gaia = 55758| TOP = 99930
[###########################                       ] 56% 70-71 | [0]-[10] | 41.02 s | join = 4351 | tmass = 4351 | gaia = 61043| TOP = 111516
[##############################                    ] 61% 70-71 | [10]-[20] | 43.33 s | join = 4757 | tmass = 4757 | gaia = 65040| TOP = 122086
[#################################                 ] 67% 70-71 | [20]-[30] | 58.06 s | join = 6201 | tmass = 6201 | gaia = 69774| TOP = 130080
[####################################              ] 72% 70-71 | [30]-[40] | 62.81 s | join = 8609 | tmass = 8609 | gaia = 92813| TOP = 139548
[######################################            ] 78% 70-71 | [40]-[50] | 74.11 s | join = 12182 | tmass = 12182 | gaia = 103684| TOP = 185626
[#########################################         ] 83% 70-71 | [50]-[60] | 52.08 s | join = 8308 | tmass = 8308 | gaia = 81285| TOP = 207368
[############################################      ] 89% 70-71 | [60]-[70] | 41.58 s | join = 3874 | tmass = 3874 | gaia = 58173| TOP = 162570
[###############################################   ] 94% 70-71 | [70]-[80] | 40.61 s | join = 1665 | tmass = 1665 | gaia = 32973| TOP = 116346
[##################################################] 100% 70-71 | [80]-[90] | 14.94 s | join = 415 | tmass = 415 | gaia = 10537| TOP = 65946
[##                                                ] 6% 71-72 | [-90]-[-80] | 14.79 s | join = 442 | tmass = 442 | gaia = 9149| TOP = 50000
[#####                                             ] 11% 71-72 | [-80]-[-70] | 25.31 s | join = 1414 | tmass = 1414 | gaia = 19994| TOP = 50000
[########                                          ] 17% 71-72 | [-70]-[-60] | 24.19 s | join = 2027 | tmass = 2027 | gaia = 28066| TOP = 50000
[###########                                       ] 22% 71-72 | [-60]-[-50] | 27.58 s | join = 1803 | tmass = 1803 | gaia = 34683| TOP = 56132
[#############                                     ] 28% 71-72 | [-50]-[-40] | 39.0 s | join = 2069 | tmass = 2069 | gaia = 40222| TOP = 69366
[################                                  ] 33% 71-72 | [-40]-[-30] | 43.47 s | join = 2278 | tmass = 2278 | gaia = 45471| TOP = 80444
[###################                               ] 39% 71-72 | [-30]-[-20] | 34.51 s | join = 2714 | tmass = 2714 | gaia = 49086| TOP = 90942
[######################                            ] 44% 71-72 | [-20]-[-10] | 36.52 s | join = 3047 | tmass = 3047 | gaia = 51958| TOP = 98172
[#########################                         ] 50% 71-72 | [-10]-[0] | 40.18 s | join = 3673 | tmass = 3673 | gaia = 58109| TOP = 103916
[###########################                       ] 56% 71-72 | [0]-[10] | 46.98 s | join = 4438 | tmass = 4438 | gaia = 64108| TOP = 116218
[##############################                    ] 61% 71-72 | [10]-[20] | 44.42 s | join = 5171 | tmass = 5171 | gaia = 69006| TOP = 128216
[#################################                 ] 67% 71-72 | [20]-[30] | 59.01 s | join = 6887 | tmass = 6887 | gaia = 75483| TOP = 138012
[####################################              ] 72% 71-72 | [30]-[40] | 63.84 s | join = 9245 | tmass = 9245 | gaia = 102203| TOP = 150966
[######################################            ] 78% 71-72 | [40]-[50] | 85.1 s | join = 13114 | tmass = 13114 | gaia = 112288| TOP = 204406
[#########################################         ] 83% 71-72 | [50]-[60] | 63.79 s | join = 7858 | tmass = 7858 | gaia = 83242| TOP = 224576
[############################################      ] 89% 71-72 | [60]-[70] | 45.19 s | join = 3817 | tmass = 3817 | gaia = 57393| TOP = 166484
[###############################################   ] 94% 71-72 | [70]-[80] | 26.82 s | join = 1663 | tmass = 1663 | gaia = 33095| TOP = 114786
[##################################################] 100% 71-72 | [80]-[90] | 14.89 s | join = 399 | tmass = 399 | gaia = 10443| TOP = 66190
[##                                                ] 6% 72-73 | [-90]-[-80] | 18.08 s | join = 400 | tmass = 400 | gaia = 8983| TOP = 50000
[#####                                             ] 11% 72-73 | [-80]-[-70] | 31.14 s | join = 1537 | tmass = 1537 | gaia = 20016| TOP = 50000
[########                                          ] 17% 72-73 | [-70]-[-60] | 30.51 s | join = 2594 | tmass = 2594 | gaia = 28451| TOP = 50000
[###########                                       ] 22% 72-73 | [-60]-[-50] | 37.16 s | join = 1828 | tmass = 1828 | gaia = 35190| TOP = 56902
[#############                                     ] 28% 72-73 | [-50]-[-40] | 39.65 s | join = 2039 | tmass = 2039 | gaia = 41300| TOP = 70380
[################                                  ] 33% 72-73 | [-40]-[-30] | 48.15 s | join = 2428 | tmass = 2428 | gaia = 46793| TOP = 82600
[###################                               ] 39% 72-73 | [-30]-[-20] | 54.39 s | join = 2715 | tmass = 2715 | gaia = 50562| TOP = 93586
[######################                            ] 44% 72-73 | [-20]-[-10] | 37.81 s | join = 3250 | tmass = 3250 | gaia = 53997| TOP = 101124
[#########################                         ] 50% 72-73 | [-10]-[0] | 54.01 s | join = 3838 | tmass = 3838 | gaia = 60589| TOP = 107994
[###########################                       ] 56% 72-73 | [0]-[10] | 47.51 s | join = 4712 | tmass = 4712 | gaia = 67852| TOP = 121178
[##############################                    ] 61% 72-73 | [10]-[20] | 62.27 s | join = 5664 | tmass = 5664 | gaia = 74442| TOP = 135704
[#################################                 ] 67% 72-73 | [20]-[30] | 71.51 s | join = 7243 | tmass = 7243 | gaia = 81990| TOP = 148884
[####################################              ] 72% 72-73 | [30]-[40] | 74.73 s | join = 9474 | tmass = 9474 | gaia = 111698| TOP = 163980
[######################################            ] 78% 72-73 | [40]-[50] | 89.71 s | join = 13863 | tmass = 13863 | gaia = 120861| TOP = 223396
[#########################################         ] 83% 72-73 | [50]-[60] | 59.79 s | join = 7501 | tmass = 7501 | gaia = 84867| TOP = 241722
[############################################      ] 89% 72-73 | [60]-[70] | 43.39 s | join = 3702 | tmass = 3702 | gaia = 56562| TOP = 169734
[###############################################   ] 94% 72-73 | [70]-[80] | 27.19 s | join = 1730 | tmass = 1730 | gaia = 33180| TOP = 113124
[##################################################] 100% 72-73 | [80]-[90] | 14.98 s | join = 430 | tmass = 430 | gaia = 10464| TOP = 66360
[##                                                ] 6% 73-74 | [-90]-[-80] | 21.13 s | join = 403 | tmass = 403 | gaia = 9060| TOP = 50000
[#####                                             ] 11% 73-74 | [-80]-[-70] | 22.65 s | join = 1514 | tmass = 1514 | gaia = 19966| TOP = 50000
[########                                          ] 17% 73-74 | [-70]-[-60] | 25.63 s | join = 3048 | tmass = 3048 | gaia = 29055| TOP = 50000
