
[#################################                 ] 67% 16-17 | [-20]-[-10] | 43.61 s | join = 13403 | tmass = 13403 | gaia = 50863| TOP = 50000000
[##################################################] 100% 16-17 | [-10]-[0] | 47.09 s | join = 14173 | tmass = 14173 | gaia = 54780| TOP = 50000000
[################                                  ] 33% 17-18 | [-30]-[-20] | 38.83 s | join = 11840 | tmass = 11840 | gaia = 44141| TOP = 50000000
[#################################                 ] 67% 17-18 | [-20]-[-10] | 42.65 s | join = 12898 | tmass = 12898 | gaia = 47926| TOP = 50000000
[##################################################] 100% 17-18 | [-10]-[0] | 53.52 s | join = 14250 | tmass = 14250 | gaia = 53335| TOP = 50000000
[################                                  ] 33% 18-19 | [-30]-[-20] | 39.61 s | join = 11884 | tmass = 11884 | gaia = 44242| TOP = 50000000
[#################################                 ] 67% 18-19 | [-20]-[-10] | 40.48 s | join = 12322 | tmass = 12322 | gaia = 47069| TOP = 50000000
[##################################################] 100% 18-19 | [-10]-[0] | 38.07 s | join = 13985 | tmass = 13985 | gaia = 53023| TOP = 50000000
[################                                  ] 33% 19-20 | [-30]-[-20] | 40.55 s | join = 12563 | tmass = 12563 | gaia = 45864| TOP = 50000000
[#################################                 ] 67% 19-20 | [-20]-[-10] | 41.96 s | join = 12725 | tmass = 12725 | gaia = 49014| TOP = 50000000
[##################################################] 100% 19-20 | [-10]-[0] | 43.65 s | join = 13905 | tmass = 13905 | gaia = 52956| TOP = 50000000
[################                                  ] 33% 20-21 | [-30]-[-20] | 77.67 s | join = 12872 | tmass = 12872 | gaia = 45830| TOP = 50000000
[#################################                 ] 67% 20-21 | [-20]-[-10] | 41.43 s | join = 13046 | tmass = 13046 | gaia = 49064| TOP = 50000000
[##################################################] 100% 20-21 | [-10]-[0] | 46.09 s | join = 13718 | tmass = 13718 | gaia = 52810| TOP = 50000000
[################                                  ] 33% 21-22 | [-30]-[-20] | 38.47 s | join = 12367 | tmass = 12367 | gaia = 45130| TOP = 50000000
[#################################                 ] 67% 21-22 | [-20]-[-10] | 75.03 s | join = 12709 | tmass = 12709 | gaia = 48351| TOP = 50000000
[##################################################] 100% 21-22 | [-10]-[0] | 51.58 s | join = 14483 | tmass = 14483 | gaia = 53144| TOP = 50000000
[################                                  ] 33% 22-23 | [-30]-[-20] | 43.14 s | join = 11732 | tmass = 11732 | gaia = 44498| TOP = 50000000
[#################################                 ] 67% 22-23 | [-20]-[-10] | 48.49 s | join = 12639 | tmass = 12639 | gaia = 47526| TOP = 50000000
[##################################################] 100% 22-23 | [-10]-[0] | 37.73 s | join = 13974 | tmass = 13974 | gaia = 52026| TOP = 50000000
[################                                  ] 33% 23-24 | [-30]-[-20] | 58.85 s | join = 11904 | tmass = 11904 | gaia = 44598| TOP = 50000000
[#################################                 ] 67% 23-24 | [-20]-[-10] | 38.42 s | join = 11850 | tmass = 11850 | gaia = 46799| TOP = 50000000
[##################################################] 100% 23-24 | [-10]-[0] | 45.87 s | join = 13632 | tmass = 13632 | gaia = 51442| TOP = 50000000
[################                                  ] 33% 24-25 | [-30]-[-20] | 43.08 s | join = 11460 | tmass = 11460 | gaia = 45761| TOP = 50000000
[#################################                 ] 67% 24-25 | [-20]-[-10] | 44.46 s | join = 12909 | tmass = 12909 | gaia = 47954| TOP = 50000000
[##################################################] 100% 24-25 | [-10]-[0] | 43.57 s | join = 13874 | tmass = 13874 | gaia = 51870| TOP = 50000000
[################                                  ] 33% 25-26 | [-30]-[-20] | 35.23 s | join = 12738 | tmass = 12738 | gaia = 47153| TOP = 50000000
[#################################                 ] 67% 25-26 | [-20]-[-10] | 49.54 s | join = 13500 | tmass = 13500 | gaia = 49742| TOP = 50000000
[##################################################] 100% 25-26 | [-10]-[0] | 74.07 s | join = 14217 | tmass = 14217 | gaia = 53207| TOP = 50000000
[################                                  ] 33% 26-27 | [-30]-[-20] | 48.09 s | join = 12793 | tmass = 12793 | gaia = 47060| TOP = 50000000
[#################################                 ] 67% 26-27 | [-20]-[-10] | 44.7 s | join = 12386 | tmass = 12386 | gaia = 48327| TOP = 50000000
[##################################################] 100% 26-27 | [-10]-[0] | 40.55 s | join = 14752 | tmass = 14752 | gaia = 53382| TOP = 50000000
[################                                  ] 33% 27-28 | [-30]-[-20] | 38.73 s | join = 12812 | tmass = 12812 | gaia = 46323| TOP = 50000000
[#################################                 ] 67% 27-28 | [-20]-[-10] | 44.41 s | join = 12200 | tmass = 12200 | gaia = 47919| TOP = 50000000
[##################################################] 100% 27-28 | [-10]-[0] | 45.69 s | join = 14306 | tmass = 14306 | gaia = 53679| TOP = 50000000
[################                                  ] 33% 28-29 | [-30]-[-20] | 35.65 s | join = 12235 | tmass = 12235 | gaia = 45187| TOP = 50000000
[#################################                 ] 67% 28-29 | [-20]-[-10] | 53.51 s | join = 12838 | tmass = 12838 | gaia = 48155| TOP = 50000000
[##################################################] 100% 28-29 | [-10]-[0] | 45.68 s | join = 15214 | tmass = 15214 | gaia = 53864| TOP = 50000000
[################                                  ] 33% 29-30 | [-30]-[-20] | 37.05 s | join = 11689 | tmass = 11689 | gaia = 44034| TOP = 50000000
[#################################                 ] 67% 29-30 | [-20]-[-10] | 68.61 s | join = 11611 | tmass = 11611 | gaia = 47286| TOP = 50000000
[##################################################] 100% 29-30 | [-10]-[0] | 38.9 s | join = 15672 | tmass = 15672 | gaia = 54176| TOP = 50000000
[################                                  ] 33% 30-31 | [-30]-[-20] | 33.6 s | join = 11528 | tmass = 11528 | gaia = 43606| TOP = 50000000
[#################################                 ] 67% 30-31 | [-20]-[-10] | 36.94 s | join = 12458 | tmass = 12458 | gaia = 47364| TOP = 50000000
[##################################################] 100% 30-31 | [-10]-[0] | 85.61 s | join = 15799 | tmass = 15799 | gaia = 55425| TOP = 50000000
[################                                  ] 33% 31-32 | [-30]-[-20] | 37.48 s | join = 11290 | tmass = 11290 | gaia = 43510| TOP = 50000000
[#################################                 ] 67% 31-32 | [-20]-[-10] | 44.19 s | join = 12731 | tmass = 12731 | gaia = 47714| TOP = 50000000
[##################################################] 100% 31-32 | [-10]-[0] | 45.09 s | join = 15119 | tmass = 15119 | gaia = 54494| TOP = 50000000
[################                                  ] 33% 32-33 | [-30]-[-20] | 38.6 s | join = 11614 | tmass = 11614 | gaia = 44437| TOP = 50000000
[#################################                 ] 67% 32-33 | [-20]-[-10] | 36.36 s | join = 13357 | tmass = 13357 | gaia = 48184| TOP = 50000000
[##################################################] 100% 32-33 | [-10]-[0] | 39.16 s | join = 14409 | tmass = 14409 | gaia = 53871| TOP = 50000000
[################                                  ] 33% 33-34 | [-30]-[-20] | 37.07 s | join = 12065 | tmass = 12065 | gaia = 45555| TOP = 50000000
[#################################                 ] 67% 33-34 | [-20]-[-10] | 87.65 s | join = 13681 | tmass = 13681 | gaia = 49634| TOP = 50000000
[##################################################] 100% 33-34 | [-10]-[0] | 40.42 s | join = 14969 | tmass = 14969 | gaia = 55556| TOP = 50000000
[################                                  ] 33% 34-35 | [-30]-[-20] | 38.04 s | join = 11612 | tmass = 11612 | gaia = 45198| TOP = 50000000
[#################################                 ] 67% 34-35 | [-20]-[-10] | 49.77 s | join = 13901 | tmass = 13901 | gaia = 50541| TOP = 50000000
[##################################################] 100% 34-35 | [-10]-[0] | 40.56 s | join = 15492 | tmass = 15492 | gaia = 55950| TOP = 50000000
[################                                  ] 33% 35-36 | [-30]-[-20] | 34.73 s | join = 11685 | tmass = 11685 | gaia = 43904| TOP = 50000000
[#################################                 ] 67% 35-36 | [-20]-[-10] | 37.62 s | join = 13076 | tmass = 13076 | gaia = 49260| TOP = 50000000
[##################################################] 100% 35-36 | [-10]-[0] | 59.83 s | join = 14976 | tmass = 14976 | gaia = 55046| TOP = 50000000
[################                                  ] 33% 36-37 | [-30]-[-20] | 55.59 s | join = 11030 | tmass = 11030 | gaia = 44067| TOP = 50000000
[#################################                 ] 67% 36-37 | [-20]-[-10] | 38.59 s | join = 12606 | tmass = 12606 | gaia = 48963| TOP = 50000000
[##################################################] 100% 36-37 | [-10]-[0] | 41.3 s | join = 15922 | tmass = 15922 | gaia = 56247| TOP = 50000000
[################                                  ] 33% 37-38 | [-30]-[-20] | 52.37 s | join = 11622 | tmass = 11622 | gaia = 44211| TOP = 50000000
[#################################                 ] 67% 37-38 | [-20]-[-10] | 82.55 s | join = 13537 | tmass = 13537 | gaia = 49833| TOP = 50000000
[##################################################] 100% 37-38 | [-10]-[0] | 45.97 s | join = 15975 | tmass = 15975 | gaia = 58484| TOP = 50000000
[################                                  ] 33% 38-39 | [-30]-[-20] | 42.58 s | join = 11485 | tmass = 11485 | gaia = 43997| TOP = 50000000
[#################################                 ] 67% 38-39 | [-20]-[-10] | 61.81 s | join = 13317 | tmass = 13317 | gaia = 50362| TOP = 50000000
[##################################################] 100% 38-39 | [-10]-[0] | 60.66 s | join = 15605 | tmass = 15605 | gaia = 59490| TOP = 50000000
[################                                  ] 33% 39-40 | [-30]-[-20] | 36.57 s | join = 11594 | tmass = 11594 | gaia = 46261| TOP = 50000000
[#################################                 ] 67% 39-40 | [-20]-[-10] | 86.27 s | join = 13199 | tmass = 13199 | gaia = 50358| TOP = 50000000
[##################################################] 100% 39-40 | [-10]-[0] | 89.49 s | join = 16222 | tmass = 16222 | gaia = 58934| TOP = 50000000
[################                                  ] 33% 40-41 | [-30]-[-20] | 47.93 s | join = 11830 | tmass = 11830 | gaia = 47115| TOP = 50000000
[#################################                 ] 67% 40-41 | [-20]-[-10] | 40.24 s | join = 12967 | tmass = 12967 | gaia = 50626| TOP = 50000000
[##################################################] 100% 40-41 | [-10]-[0] | 71.93 s | join = 16048 | tmass = 16048 | gaia = 58372| TOP = 50000000
[################                                  ] 33% 41-42 | [-30]-[-20] | 83.94 s | join = 12906 | tmass = 12906 | gaia = 47044| TOP = 50000000
[#################################                 ] 67% 41-42 | [-20]-[-10] | 57.55 s | join = 14120 | tmass = 14120 | gaia = 52363| TOP = 50000000
[##################################################] 100% 41-42 | [-10]-[0] | 60.9 s | join = 15672 | tmass = 15672 | gaia = 58543| TOP = 50000000
[################                                  ] 33% 42-43 | [-30]-[-20] | 62.37 s | join = 12462 | tmass = 12462 | gaia = 46522| TOP = 50000000
[#################################                 ] 67% 42-43 | [-20]-[-10] | 109.46 s | join = 14314 | tmass = 14314 | gaia = 52566| TOP = 50000000
[##################################################] 100% 42-43 | [-10]-[0] | 53.23 s | join = 15613 | tmass = 15613 | gaia = 59345| TOP = 50000000
[################                                  ] 33% 43-44 | [-30]-[-20] | 41.92 s | join = 12239 | tmass = 12239 | gaia = 46293| TOP = 50000000
[#################################                 ] 67% 43-44 | [-20]-[-10] | 61.71 s | join = 13999 | tmass = 13999 | gaia = 52039| TOP = 50000000
[##################################################] 100% 43-44 | [-10]-[0] | 65.01 s | join = 15577 | tmass = 15577 | gaia = 59030| TOP = 50000000
[################                                  ] 33% 44-45 | [-30]-[-20] | 62.98 s | join = 13168 | tmass = 13168 | gaia = 48419| TOP = 50000000
[#################################                 ] 67% 44-45 | [-20]-[-10] | 70.3 s | join = 14371 | tmass = 14371 | gaia = 52410| TOP = 50000000
[##################################################] 100% 44-45 | [-10]-[0] | 62.0 s | join = 15869 | tmass = 15869 | gaia = 58475| TOP = 50000000
[################                                  ] 33% 45-46 | [-30]-[-20] | 79.04 s | join = 13074 | tmass = 13074 | gaia = 50028| TOP = 50000000
[#################################                 ] 67% 45-46 | [-20]-[-10] | 76.73 s | join = 14152 | tmass = 14152 | gaia = 52844| TOP = 50000000
[##################################################] 100% 45-46 | [-10]-[0] | 50.96 s | join = 15025 | tmass = 15025 | gaia = 60639| TOP = 50000000
[################                                  ] 33% 46-47 | [-30]-[-20] | 57.27 s | join = 13050 | tmass = 13050 | gaia = 50773| TOP = 50000000
[#################################                 ] 67% 46-47 | [-20]-[-10] | 87.7 s | join = 15053 | tmass = 15053 | gaia = 53832| TOP = 50000000
[##################################################] 100% 46-47 | [-10]-[0] | 64.55 s | join = 15613 | tmass = 15613 | gaia = 62450| TOP = 50000000
[################                                  ] 33% 47-48 | [-30]-[-20] | 50.83 s | join = 12951 | tmass = 12951 | gaia = 49932| TOP = 50000000
[#################################                 ] 67% 47-48 | [-20]-[-10] | 53.1 s | join = 15244 | tmass = 15244 | gaia = 55170| TOP = 50000000
[##################################################] 100% 47-48 | [-10]-[0] | 90.79 s | join = 16062 | tmass = 16062 | gaia = 63312| TOP = 50000000
[################                                  ] 33% 48-49 | [-30]-[-20] | 86.43 s | join = 12419 | tmass = 12419 | gaia = 49405| TOP = 50000000
[#################################                 ] 67% 48-49 | [-20]-[-10] | 51.47 s | join = 15056 | tmass = 15056 | gaia = 55723| TOP = 50000000
[##################################################] 100% 48-49 | [-10]-[0] | 63.83 s | join = 16422 | tmass = 16422 | gaia = 63378| TOP = 50000000
[################                                  ] 33% 49-50 | [-30]-[-20] | 71.66 s | join = 12988 | tmass = 12988 | gaia = 50045| TOP = 50000000
[#################################                 ] 67% 49-50 | [-20]-[-10] | 60.63 s | join = 14067 | tmass = 14067 | gaia = 54336| TOP = 50000000
[##################################################] 100% 49-50 | [-10]-[0] | 49.83 s | join = 16002 | tmass = 16002 | gaia = 61403| TOP = 50000000
[################                                  ] 33% 50-51 | [-30]-[-20] | 47.86 s | join = 13735 | tmass = 13735 | gaia = 51192| TOP = 50000000
[#################################                 ] 67% 50-51 | [-20]-[-10] | 69.13 s | join = 13734 | tmass = 13734 | gaia = 54796| TOP = 50000000
[##################################################] 100% 50-51 | [-10]-[0] | 63.72 s | join = 16173 | tmass = 16173 | gaia = 60959| TOP = 50000000
[################                                  ] 33% 51-52 | [-30]-[-20] | 61.13 s | join = 14093 | tmass = 14093 | gaia = 52916| TOP = 50000000
[#################################                 ] 67% 51-52 | [-20]-[-10] | 59.34 s | join = 14969 | tmass = 14969 | gaia = 57834| TOP = 50000000
[##################################################] 100% 51-52 | [-10]-[0] | 71.9 s | join = 17267 | tmass = 17267 | gaia = 63414| TOP = 50000000
[################                                  ] 33% 52-53 | [-30]-[-20] | 54.79 s | join = 14062 | tmass = 14062 | gaia = 54189| TOP = 50000000
[#################################                 ] 67% 52-53 | [-20]-[-10] | 60.16 s | join = 15767 | tmass = 15767 | gaia = 60508| TOP = 50000000
[##################################################] 100% 52-53 | [-10]-[0] | 64.51 s | join = 18796 | tmass = 18796 | gaia = 66916| TOP = 50000000
[################                                  ] 33% 53-54 | [-30]-[-20] | 79.06 s | join = 14318 | tmass = 14318 | gaia = 55698| TOP = 50000000
[#################################                 ] 67% 53-54 | [-20]-[-10] | 70.72 s | join = 16152 | tmass = 16152 | gaia = 62253| TOP = 50000000
[##################################################] 100% 53-54 | [-10]-[0] | 64.51 s | join = 19724 | tmass = 19724 | gaia = 70630| TOP = 50000000
[################                                  ] 33% 54-55 | [-30]-[-20] | 57.9 s | join = 14320 | tmass = 14320 | gaia = 56928| TOP = 50000000
[#################################                 ] 67% 54-55 | [-20]-[-10] | 111.54 s | join = 17338 | tmass = 17338 | gaia = 64150| TOP = 50000000
[##################################################] 100% 54-55 | [-10]-[0] | 74.86 s | join = 20234 | tmass = 20234 | gaia = 72521| TOP = 50000000
[################                                  ] 33% 55-56 | [-30]-[-20] | 65.59 s | join = 14358 | tmass = 14358 | gaia = 57746| TOP = 50000000
[#################################                 ] 67% 55-56 | [-20]-[-10] | 59.78 s | join = 17494 | tmass = 17494 | gaia = 66274| TOP = 50000000
[##################################################] 100% 55-56 | [-10]-[0] | 80.13 s | join = 19931 | tmass = 19931 | gaia = 72699| TOP = 50000000
[################                                  ] 33% 56-57 | [-30]-[-20] | 75.55 s | join = 15846 | tmass = 15846 | gaia = 59442| TOP = 50000000
[#################################                 ] 67% 56-57 | [-20]-[-10] | 69.89 s | join = 17305 | tmass = 17305 | gaia = 67983| TOP = 50000000
[##################################################] 100% 56-57 | [-10]-[0] | 110.93 s | join = 20386 | tmass = 20386 | gaia = 73229| TOP = 50000000
[################                                  ] 33% 57-58 | [-30]-[-20] | 68.31 s | join = 15781 | tmass = 15781 | gaia = 60845| TOP = 50000000
[#################################                 ] 67% 57-58 | [-20]-[-10] | 63.96 s | join = 17632 | tmass = 17632 | gaia = 68305| TOP = 50000000
[##################################################] 100% 57-58 | [-10]-[0] | 79.92 s | join = 20376 | tmass = 20376 | gaia = 73357| TOP = 50000000
[################                                  ] 33% 58-59 | [-30]-[-20] | 65.09 s | join = 14940 | tmass = 14940 | gaia = 60196| TOP = 50000000
[#################################                 ] 67% 58-59 | [-20]-[-10] | 60.89 s | join = 17188 | tmass = 17188 | gaia = 66648| TOP = 50000000
[##################################################] 100% 58-59 | [-10]-[0] | 87.0 s | join = 20064 | tmass = 20064 | gaia = 72807| TOP = 50000000
[################                                  ] 33% 59-60 | [-30]-[-20] | 113.82 s | join = 15044 | tmass = 15044 | gaia = 60511| TOP = 50000000
[#################################                 ] 67% 59-60 | [-20]-[-10] | 61.72 s | join = 17435 | tmass = 17435 | gaia = 67365| TOP = 50000000
[##################################################] 100% 59-60 | [-10]-[0] | 83.85 s | join = 19747 | tmass = 19747 | gaia = 73774| TOP = 50000000
