
[#################################                 ] 67% 316-317 | [-80]-[-70] | 51.07 s | join = 11563 | tmass = 11563 | gaia = 43978| TOP = 50000000
[##################################################] 100% 316-317 | [-70]-[-60] | 100.06 s | join = 18011 | tmass = 18011 | gaia = 65807| TOP = 50000000
[################                                  ] 33% 317-318 | [-90]-[-80] | 28.55 s | join = 4374 | tmass = 4374 | gaia = 17835| TOP = 50000000
[#################################                 ] 67% 317-318 | [-80]-[-70] | 48.33 s | join = 10985 | tmass = 10985 | gaia = 43260| TOP = 50000000
[##################################################] 100% 317-318 | [-70]-[-60] | 61.93 s | join = 17785 | tmass = 17785 | gaia = 64480| TOP = 50000000
[################                                  ] 33% 318-319 | [-90]-[-80] | 31.4 s | join = 4195 | tmass = 4195 | gaia = 17473| TOP = 50000000
[#################################                 ] 67% 318-319 | [-80]-[-70] | 62.94 s | join = 11138 | tmass = 11138 | gaia = 42165| TOP = 50000000
[##################################################] 100% 318-319 | [-70]-[-60] | 116.82 s | join = 16217 | tmass = 16217 | gaia = 61517| TOP = 50000000
[################                                  ] 33% 319-320 | [-90]-[-80] | 29.5 s | join = 4086 | tmass = 4086 | gaia = 17258| TOP = 50000000
[#################################                 ] 67% 319-320 | [-80]-[-70] | 59.16 s | join = 10690 | tmass = 10690 | gaia = 41983| TOP = 50000000
[##################################################] 100% 319-320 | [-70]-[-60] | 82.05 s | join = 15092 | tmass = 15092 | gaia = 59604| TOP = 50000000
[################                                  ] 33% 320-321 | [-90]-[-80] | 22.1 s | join = 4134 | tmass = 4134 | gaia = 17182| TOP = 50000000
[#################################                 ] 67% 320-321 | [-80]-[-70] | 53.8 s | join = 10966 | tmass = 10966 | gaia = 41932| TOP = 50000000
[##################################################] 100% 320-321 | [-70]-[-60] | 69.85 s | join = 15789 | tmass = 15789 | gaia = 59673| TOP = 50000000
[################                                  ] 33% 321-322 | [-90]-[-80] | 31.58 s | join = 4191 | tmass = 4191 | gaia = 16806| TOP = 50000000
[#################################                 ] 67% 321-322 | [-80]-[-70] | 78.24 s | join = 10380 | tmass = 10380 | gaia = 41077| TOP = 50000000
[##################################################] 100% 321-322 | [-70]-[-60] | 85.94 s | join = 15644 | tmass = 15644 | gaia = 58959| TOP = 50000000
[################                                  ] 33% 322-323 | [-90]-[-80] | 26.71 s | join = 4043 | tmass = 4043 | gaia = 16455| TOP = 50000000
[#################################                 ] 67% 322-323 | [-80]-[-70] | 47.71 s | join = 10552 | tmass = 10552 | gaia = 40182| TOP = 50000000
[##################################################] 100% 322-323 | [-70]-[-60] | 63.93 s | join = 14699 | tmass = 14699 | gaia = 56485| TOP = 50000000
[################                                  ] 33% 323-324 | [-90]-[-80] | 64.92 s | join = 3987 | tmass = 3987 | gaia = 16418| TOP = 50000000
[#################################                 ] 67% 323-324 | [-80]-[-70] | 33.21 s | join = 10515 | tmass = 10515 | gaia = 39965| TOP = 50000000
[##################################################] 100% 323-324 | [-70]-[-60] | 48.49 s | join = 13990 | tmass = 13990 | gaia = 54644| TOP = 50000000
[################                                  ] 33% 324-325 | [-90]-[-80] | 24.18 s | join = 4060 | tmass = 4060 | gaia = 16309| TOP = 50000000
[#################################                 ] 67% 324-325 | [-80]-[-70] | 54.48 s | join = 10253 | tmass = 10253 | gaia = 39521| TOP = 50000000
[##################################################] 100% 324-325 | [-70]-[-60] | 71.43 s | join = 14484 | tmass = 14484 | gaia = 54622| TOP = 50000000
[################                                  ] 33% 325-326 | [-90]-[-80] | 80.34 s | join = 3969 | tmass = 3969 | gaia = 16331| TOP = 50000000
[#################################                 ] 67% 325-326 | [-80]-[-70] | 39.73 s | join = 10034 | tmass = 10034 | gaia = 38701| TOP = 50000000
[##################################################] 100% 325-326 | [-70]-[-60] | 54.84 s | join = 14201 | tmass = 14201 | gaia = 54530| TOP = 50000000
[################                                  ] 33% 326-327 | [-90]-[-80] | 30.89 s | join = 3950 | tmass = 3950 | gaia = 15985| TOP = 50000000
[#################################                 ] 67% 326-327 | [-80]-[-70] | 63.74 s | join = 10019 | tmass = 10019 | gaia = 38063| TOP = 50000000
[##################################################] 100% 326-327 | [-70]-[-60] | 83.48 s | join = 13899 | tmass = 13899 | gaia = 53396| TOP = 50000000
[################                                  ] 33% 327-328 | [-90]-[-80] | 21.59 s | join = 3914 | tmass = 3914 | gaia = 15720| TOP = 50000000
[#################################                 ] 67% 327-328 | [-80]-[-70] | 39.29 s | join = 9666 | tmass = 9666 | gaia = 36952| TOP = 50000000
[##################################################] 100% 327-328 | [-70]-[-60] | 45.1 s | join = 13759 | tmass = 13759 | gaia = 52551| TOP = 50000000
[################                                  ] 33% 328-329 | [-90]-[-80] | 24.51 s | join = 4032 | tmass = 4032 | gaia = 16034| TOP = 50000000
[#################################                 ] 67% 328-329 | [-80]-[-70] | 52.05 s | join = 9146 | tmass = 9146 | gaia = 35812| TOP = 50000000
[##################################################] 100% 328-329 | [-70]-[-60] | 55.98 s | join = 12673 | tmass = 12673 | gaia = 50892| TOP = 50000000
[################                                  ] 33% 329-330 | [-90]-[-80] | 17.84 s | join = 4116 | tmass = 4116 | gaia = 16326| TOP = 50000000
[#################################                 ] 67% 329-330 | [-80]-[-70] | 31.22 s | join = 9465 | tmass = 9465 | gaia = 36100| TOP = 50000000
[##################################################] 100% 329-330 | [-70]-[-60] | 48.63 s | join = 12373 | tmass = 12373 | gaia = 49879| TOP = 50000000
[################                                  ] 33% 330-331 | [-90]-[-80] | 22.44 s | join = 4146 | tmass = 4146 | gaia = 16082| TOP = 50000000
[#################################                 ] 67% 330-331 | [-80]-[-70] | 41.03 s | join = 9460 | tmass = 9460 | gaia = 36689| TOP = 50000000
[##################################################] 100% 330-331 | [-70]-[-60] | 49.5 s | join = 13127 | tmass = 13127 | gaia = 50495| TOP = 50000000
[################                                  ] 33% 331-332 | [-90]-[-80] | 22.97 s | join = 3860 | tmass = 3860 | gaia = 15791| TOP = 50000000
[#################################                 ] 67% 331-332 | [-80]-[-70] | 46.67 s | join = 9560 | tmass = 9560 | gaia = 36530| TOP = 50000000
[##################################################] 100% 331-332 | [-70]-[-60] | 76.25 s | join = 13025 | tmass = 13025 | gaia = 50337| TOP = 50000000
[################                                  ] 33% 332-333 | [-90]-[-80] | 18.65 s | join = 4006 | tmass = 4006 | gaia = 15675| TOP = 50000000
[#################################                 ] 67% 332-333 | [-80]-[-70] | 42.41 s | join = 9424 | tmass = 9424 | gaia = 36056| TOP = 50000000
[##################################################] 100% 332-333 | [-70]-[-60] | 54.33 s | join = 13004 | tmass = 13004 | gaia = 49280| TOP = 50000000
[################                                  ] 33% 333-334 | [-90]-[-80] | 32.05 s | join = 3995 | tmass = 3995 | gaia = 15732| TOP = 50000000
[#################################                 ] 67% 333-334 | [-80]-[-70] | 46.99 s | join = 9300 | tmass = 9300 | gaia = 35042| TOP = 50000000
[##################################################] 100% 333-334 | [-70]-[-60] | 91.28 s | join = 12483 | tmass = 12483 | gaia = 47316| TOP = 50000000
[################                                  ] 33% 334-335 | [-90]-[-80] | 22.53 s | join = 3897 | tmass = 3897 | gaia = 15745| TOP = 50000000
[#################################                 ] 67% 334-335 | [-80]-[-70] | 35.36 s | join = 9221 | tmass = 9221 | gaia = 33712| TOP = 50000000
[##################################################] 100% 334-335 | [-70]-[-60] | 35.74 s | join = 11246 | tmass = 11246 | gaia = 45094| TOP = 50000000
[################                                  ] 33% 335-336 | [-90]-[-80] | 20.54 s | join = 4108 | tmass = 4108 | gaia = 15322| TOP = 50000000
[#################################                 ] 67% 335-336 | [-80]-[-70] | 59.32 s | join = 8415 | tmass = 8415 | gaia = 32487| TOP = 50000000
[##################################################] 100% 335-336 | [-70]-[-60] | 51.76 s | join = 10942 | tmass = 10942 | gaia = 43764| TOP = 50000000
[################                                  ] 33% 336-337 | [-90]-[-80] | 21.5 s | join = 3942 | tmass = 3942 | gaia = 15025| TOP = 50000000
[#################################                 ] 67% 336-337 | [-80]-[-70] | 38.83 s | join = 8345 | tmass = 8345 | gaia = 33033| TOP = 50000000
[##################################################] 100% 336-337 | [-70]-[-60] | 91.53 s | join = 11962 | tmass = 11962 | gaia = 45006| TOP = 50000000
[################                                  ] 33% 337-338 | [-90]-[-80] | 23.53 s | join = 3937 | tmass = 3937 | gaia = 15123| TOP = 50000000
[#################################                 ] 67% 337-338 | [-80]-[-70] | 43.34 s | join = 8871 | tmass = 8871 | gaia = 33941| TOP = 50000000
[##################################################] 100% 337-338 | [-70]-[-60] | 45.87 s | join = 12166 | tmass = 12166 | gaia = 45665| TOP = 50000000
[################                                  ] 33% 338-339 | [-90]-[-80] | 26.84 s | join = 3931 | tmass = 3931 | gaia = 15371| TOP = 50000000
[#################################                 ] 67% 338-339 | [-80]-[-70] | 29.7 s | join = 8756 | tmass = 8756 | gaia = 34063| TOP = 50000000
[##################################################] 100% 338-339 | [-70]-[-60] | 60.27 s | join = 11395 | tmass = 11395 | gaia = 44988| TOP = 50000000
[################                                  ] 33% 339-340 | [-90]-[-80] | 75.74 s | join = 4018 | tmass = 4018 | gaia = 15604| TOP = 50000000
[#################################                 ] 67% 339-340 | [-80]-[-70] | 33.22 s | join = 8904 | tmass = 8904 | gaia = 34608| TOP = 50000000
[##################################################] 100% 339-340 | [-70]-[-60] | 41.43 s | join = 11354 | tmass = 11354 | gaia = 44395| TOP = 50000000
[################                                  ] 33% 340-341 | [-90]-[-80] | 24.36 s | join = 4116 | tmass = 4116 | gaia = 15883| TOP = 50000000
[#################################                 ] 67% 340-341 | [-80]-[-70] | 38.29 s | join = 9107 | tmass = 9107 | gaia = 34350| TOP = 50000000
[##################################################] 100% 340-341 | [-70]-[-60] | 64.59 s | join = 11514 | tmass = 11514 | gaia = 43588| TOP = 50000000
[################                                  ] 33% 341-342 | [-90]-[-80] | 28.42 s | join = 4255 | tmass = 4255 | gaia = 16013| TOP = 50000000
[#################################                 ] 67% 341-342 | [-80]-[-70] | 41.68 s | join = 9087 | tmass = 9087 | gaia = 33623| TOP = 50000000
[##################################################] 100% 341-342 | [-70]-[-60] | 44.54 s | join = 10718 | tmass = 10718 | gaia = 43163| TOP = 50000000
[################                                  ] 33% 342-343 | [-90]-[-80] | 19.92 s | join = 3915 | tmass = 3915 | gaia = 15080| TOP = 50000000
[#################################                 ] 67% 342-343 | [-80]-[-70] | 59.91 s | join = 8429 | tmass = 8429 | gaia = 32075| TOP = 50000000
[##################################################] 100% 342-343 | [-70]-[-60] | 44.73 s | join = 10440 | tmass = 10440 | gaia = 41730| TOP = 50000000
[################                                  ] 33% 343-344 | [-90]-[-80] | 22.1 s | join = 3531 | tmass = 3531 | gaia = 14400| TOP = 50000000
[#################################                 ] 67% 343-344 | [-80]-[-70] | 34.68 s | join = 8425 | tmass = 8425 | gaia = 31471| TOP = 50000000
[##################################################] 100% 343-344 | [-70]-[-60] | 44.1 s | join = 10677 | tmass = 10677 | gaia = 41062| TOP = 50000000
[################                                  ] 33% 344-345 | [-90]-[-80] | 25.54 s | join = 3743 | tmass = 3743 | gaia = 14702| TOP = 50000000
[#################################                 ] 67% 344-345 | [-80]-[-70] | 38.97 s | join = 8824 | tmass = 8824 | gaia = 32157| TOP = 50000000
[##################################################] 100% 344-345 | [-70]-[-60] | 55.9 s | join = 10687 | tmass = 10687 | gaia = 41193| TOP = 50000000
[################                                  ] 33% 345-346 | [-90]-[-80] | 20.3 s | join = 3547 | tmass = 3547 | gaia = 14498| TOP = 50000000
[#################################                 ] 67% 345-346 | [-80]-[-70] | 41.04 s | join = 8081 | tmass = 8081 | gaia = 31318| TOP = 50000000
[##################################################] 100% 345-346 | [-70]-[-60] | 34.51 s | join = 10346 | tmass = 10346 | gaia = 40359| TOP = 50000000
[################                                  ] 33% 346-347 | [-90]-[-80] | 19.67 s | join = 3592 | tmass = 3592 | gaia = 14325| TOP = 50000000
[#################################                 ] 67% 346-347 | [-80]-[-70] | 51.35 s | join = 8466 | tmass = 8466 | gaia = 30735| TOP = 50000000
[##################################################] 100% 346-347 | [-70]-[-60] | 82.69 s | join = 10192 | tmass = 10192 | gaia = 39610| TOP = 50000000
[################                                  ] 33% 347-348 | [-90]-[-80] | 21.05 s | join = 3502 | tmass = 3502 | gaia = 14234| TOP = 50000000
[#################################                 ] 67% 347-348 | [-80]-[-70] | 29.82 s | join = 8566 | tmass = 8566 | gaia = 30768| TOP = 50000000
[##################################################] 100% 347-348 | [-70]-[-60] | 37.03 s | join = 10076 | tmass = 10076 | gaia = 39541| TOP = 50000000
[################                                  ] 33% 348-349 | [-90]-[-80] | 28.54 s | join = 3519 | tmass = 3519 | gaia = 13665| TOP = 50000000
[#################################                 ] 67% 348-349 | [-80]-[-70] | 37.54 s | join = 7870 | tmass = 7870 | gaia = 29790| TOP = 50000000
[##################################################] 100% 348-349 | [-70]-[-60] | 98.06 s | join = 9891 | tmass = 9891 | gaia = 39221| TOP = 50000000
