
[##################################################] 100% 76-77 | [80]-[90] | 20.16 s | join = 3544 | tmass = 3544 | gaia = 17603| TOP = 50000000
[################                                  ] 33% 77-78 | [60]-[70] | 129.99 s | join = 32456 | tmass = 32456 | gaia = 141749| TOP = 50000000
[#################################                 ] 67% 77-78 | [70]-[80] | 43.81 s | join = 14316 | tmass = 14316 | gaia = 60189| TOP = 50000000
[##################################################] 100% 77-78 | [80]-[90] | 26.78 s | join = 3503 | tmass = 3503 | gaia = 17324| TOP = 50000000
[################                                  ] 33% 78-79 | [60]-[70] | 87.86 s | join = 32761 | tmass = 32761 | gaia = 136505| TOP = 50000000
[#################################                 ] 67% 78-79 | [70]-[80] | 49.91 s | join = 13980 | tmass = 13980 | gaia = 58895| TOP = 50000000
[##################################################] 100% 78-79 | [80]-[90] | 21.53 s | join = 3507 | tmass = 3507 | gaia = 17098| TOP = 50000000
[################                                  ] 33% 79-80 | [60]-[70] | 135.8 s | join = 32354 | tmass = 32354 | gaia = 133498| TOP = 50000000
[#################################                 ] 67% 79-80 | [70]-[80] | 41.98 s | join = 13563 | tmass = 13563 | gaia = 57506| TOP = 50000000
[##################################################] 100% 79-80 | [80]-[90] | 20.51 s | join = 3562 | tmass = 3562 | gaia = 17237| TOP = 50000000
[################                                  ] 33% 80-81 | [60]-[70] | 97.08 s | join = 32029 | tmass = 32029 | gaia = 135641| TOP = 50000000
[#################################                 ] 67% 80-81 | [70]-[80] | 41.77 s | join = 13796 | tmass = 13796 | gaia = 57667| TOP = 50000000
[##################################################] 100% 80-81 | [80]-[90] | 17.56 s | join = 3499 | tmass = 3499 | gaia = 16889| TOP = 50000000
[################                                  ] 33% 81-82 | [60]-[70] | 139.34 s | join = 30396 | tmass = 30396 | gaia = 133603| TOP = 50000000
[#################################                 ] 67% 81-82 | [70]-[80] | 51.4 s | join = 13860 | tmass = 13860 | gaia = 56990| TOP = 50000000
[##################################################] 100% 81-82 | [80]-[90] | 21.6 s | join = 3388 | tmass = 3388 | gaia = 16622| TOP = 50000000
[################                                  ] 33% 82-83 | [60]-[70] | 141.55 s | join = 29311 | tmass = 29311 | gaia = 126293| TOP = 50000000
[#################################                 ] 67% 82-83 | [70]-[80] | 41.33 s | join = 13103 | tmass = 13103 | gaia = 54422| TOP = 50000000
[##################################################] 100% 82-83 | [80]-[90] | 21.03 s | join = 3358 | tmass = 3358 | gaia = 16217| TOP = 50000000
[################                                  ] 33% 83-84 | [60]-[70] | 100.32 s | join = 27567 | tmass = 27567 | gaia = 118855| TOP = 50000000
[#################################                 ] 67% 83-84 | [70]-[80] | 48.77 s | join = 12653 | tmass = 12653 | gaia = 52538| TOP = 50000000
[##################################################] 100% 83-84 | [80]-[90] | 17.58 s | join = 3274 | tmass = 3274 | gaia = 16169| TOP = 50000000
[################                                  ] 33% 84-85 | [60]-[70] | 141.57 s | join = 26767 | tmass = 26767 | gaia = 112147| TOP = 50000000
[#################################                 ] 67% 84-85 | [70]-[80] | 55.93 s | join = 12632 | tmass = 12632 | gaia = 51706| TOP = 50000000
[##################################################] 100% 84-85 | [80]-[90] | 30.81 s | join = 3502 | tmass = 3502 | gaia = 16404| TOP = 50000000
[################                                  ] 33% 85-86 | [60]-[70] | 112.95 s | join = 26282 | tmass = 26282 | gaia = 108469| TOP = 50000000
[#################################                 ] 67% 85-86 | [70]-[80] | 96.0 s | join = 12702 | tmass = 12702 | gaia = 51104| TOP = 50000000
[##################################################] 100% 85-86 | [80]-[90] | 22.74 s | join = 3154 | tmass = 3154 | gaia = 15752| TOP = 50000000
[################                                  ] 33% 86-87 | [60]-[70] | 118.36 s | join = 26584 | tmass = 26584 | gaia = 105883| TOP = 50000000
[#################################                 ] 67% 86-87 | [70]-[80] | 75.19 s | join = 11993 | tmass = 11993 | gaia = 50166| TOP = 50000000
[##################################################] 100% 86-87 | [80]-[90] | 74.64 s | join = 3275 | tmass = 3275 | gaia = 15438| TOP = 50000000
[################                                  ] 33% 87-88 | [60]-[70] | 88.41 s | join = 26515 | tmass = 26515 | gaia = 104746| TOP = 50000000
[#################################                 ] 67% 87-88 | [70]-[80] | 61.47 s | join = 11673 | tmass = 11673 | gaia = 48644| TOP = 50000000
[##################################################] 100% 87-88 | [80]-[90] | 30.25 s | join = 3637 | tmass = 3637 | gaia = 15656| TOP = 50000000
[################                                  ] 33% 88-89 | [60]-[70] | 111.19 s | join = 26216 | tmass = 26216 | gaia = 105576| TOP = 50000000
[#################################                 ] 67% 88-89 | [70]-[80] | 59.92 s | join = 11577 | tmass = 11577 | gaia = 48710| TOP = 50000000
[##################################################] 100% 88-89 | [80]-[90] | 20.49 s | join = 3640 | tmass = 3640 | gaia = 15865| TOP = 50000000
[################                                  ] 33% 89-90 | [60]-[70] | 115.0 s | join = 26395 | tmass = 26395 | gaia = 105417| TOP = 50000000
[#################################                 ] 67% 89-90 | [70]-[80] | 91.02 s | join = 11257 | tmass = 11257 | gaia = 48601| TOP = 50000000
[##################################################] 100% 89-90 | [80]-[90] | 27.48 s | join = 3355 | tmass = 3355 | gaia = 15282| TOP = 50000000
[################                                  ] 33% 90-91 | [60]-[70] | 99.25 s | join = 25985 | tmass = 25985 | gaia = 103791| TOP = 50000000
[#################################                 ] 67% 90-91 | [70]-[80] | 66.32 s | join = 10927 | tmass = 10927 | gaia = 47114| TOP = 50000000
[##################################################] 100% 90-91 | [80]-[90] | 23.33 s | join = 3242 | tmass = 3242 | gaia = 14695| TOP = 50000000
[################                                  ] 33% 91-92 | [60]-[70] | 92.22 s | join = 25610 | tmass = 25610 | gaia = 100540| TOP = 50000000
[#################################                 ] 67% 91-92 | [70]-[80] | 69.47 s | join = 11055 | tmass = 11055 | gaia = 46241| TOP = 50000000
[##################################################] 100% 91-92 | [80]-[90] | 69.55 s | join = 3062 | tmass = 3062 | gaia = 14507| TOP = 50000000
[################                                  ] 33% 92-93 | [60]-[70] | 105.79 s | join = 21979 | tmass = 21979 | gaia = 93958| TOP = 50000000
[#################################                 ] 67% 92-93 | [70]-[80] | 41.27 s | join = 10786 | tmass = 10786 | gaia = 44881| TOP = 50000000
[##################################################] 100% 92-93 | [80]-[90] | 25.08 s | join = 3045 | tmass = 3045 | gaia = 14315| TOP = 50000000
[################                                  ] 33% 93-94 | [60]-[70] | 134.03 s | join = 21341 | tmass = 21341 | gaia = 89607| TOP = 50000000
[#################################                 ] 67% 93-94 | [70]-[80] | 37.42 s | join = 10801 | tmass = 10801 | gaia = 43967| TOP = 50000000
[##################################################] 100% 93-94 | [80]-[90] | 21.66 s | join = 3078 | tmass = 3078 | gaia = 14366| TOP = 50000000
[################                                  ] 33% 94-95 | [60]-[70] | 80.83 s | join = 22116 | tmass = 22116 | gaia = 87600| TOP = 50000000
[#################################                 ] 67% 94-95 | [70]-[80] | 55.2 s | join = 10452 | tmass = 10452 | gaia = 43554| TOP = 50000000
[##################################################] 100% 94-95 | [80]-[90] | 48.94 s | join = 3241 | tmass = 3241 | gaia = 14309| TOP = 50000000
[################                                  ] 33% 95-96 | [60]-[70] | 87.77 s | join = 22022 | tmass = 22022 | gaia = 85661| TOP = 50000000
[#################################                 ] 67% 95-96 | [70]-[80] | 52.67 s | join = 10366 | tmass = 10366 | gaia = 43227| TOP = 50000000
[##################################################] 100% 95-96 | [80]-[90] | 21.28 s | join = 3214 | tmass = 3214 | gaia = 14203| TOP = 50000000
[################                                  ] 33% 96-97 | [60]-[70] | 97.93 s | join = 21395 | tmass = 21395 | gaia = 83951| TOP = 50000000
[#################################                 ] 67% 96-97 | [70]-[80] | 43.89 s | join = 10362 | tmass = 10362 | gaia = 42213| TOP = 50000000
[##################################################] 100% 96-97 | [80]-[90] | 19.77 s | join = 3104 | tmass = 3104 | gaia = 13940| TOP = 50000000
[################                                  ] 33% 97-98 | [60]-[70] | 62.28 s | join = 20341 | tmass = 20341 | gaia = 81040| TOP = 50000000
[#################################                 ] 67% 97-98 | [70]-[80] | 70.45 s | join = 9582 | tmass = 9582 | gaia = 40553| TOP = 50000000
[##################################################] 100% 97-98 | [80]-[90] | 26.08 s | join = 3010 | tmass = 3010 | gaia = 13601| TOP = 50000000
[################                                  ] 33% 98-99 | [60]-[70] | 75.29 s | join = 19068 | tmass = 19068 | gaia = 77123| TOP = 50000000
[#################################                 ] 67% 98-99 | [70]-[80] | 48.89 s | join = 10024 | tmass = 10024 | gaia = 39655| TOP = 50000000
[##################################################] 100% 98-99 | [80]-[90] | 19.74 s | join = 2972 | tmass = 2972 | gaia = 13487| TOP = 50000000
[################                                  ] 33% 99-100 | [60]-[70] | 76.93 s | join = 18030 | tmass = 18030 | gaia = 74081| TOP = 50000000
[#################################                 ] 67% 99-100 | [70]-[80] | 78.97 s | join = 9675 | tmass = 9675 | gaia = 38866| TOP = 50000000
[##################################################] 100% 99-100 | [80]-[90] | 22.15 s | join = 2975 | tmass = 2975 | gaia = 13428| TOP = 50000000
[################                                  ] 33% 100-101 | [60]-[70] | 78.35 s | join = 16867 | tmass = 16867 | gaia = 72002| TOP = 50000000
[#################################                 ] 67% 100-101 | [70]-[80] | 45.47 s | join = 9842 | tmass = 9842 | gaia = 38741| TOP = 50000000
[##################################################] 100% 100-101 | [80]-[90] | 21.18 s | join = 3021 | tmass = 3021 | gaia = 13808| TOP = 50000000
[################                                  ] 33% 101-102 | [60]-[70] | 92.55 s | join = 16696 | tmass = 16696 | gaia = 70430| TOP = 50000000
[#################################                 ] 67% 101-102 | [70]-[80] | 96.06 s | join = 9838 | tmass = 9838 | gaia = 38296| TOP = 50000000
[##################################################] 100% 101-102 | [80]-[90] | 29.3 s | join = 3137 | tmass = 3137 | gaia = 13812| TOP = 50000000
[################                                  ] 33% 102-103 | [60]-[70] | 82.29 s | join = 17122 | tmass = 17122 | gaia = 69794| TOP = 50000000
[#################################                 ] 67% 102-103 | [70]-[80] | 62.95 s | join = 9278 | tmass = 9278 | gaia = 37759| TOP = 50000000
