
[#########################################         ] 83% 7-8 | [50]-[60] | 85.86 s | join = 9829 | tmass = 9829 | gaia = 133877| TOP = 184040
[############################################      ] 89% 7-8 | [60]-[70] | 82.14 s | join = 10176 | tmass = 10176 | gaia = 108243| TOP = 267754
[###############################################   ] 94% 7-8 | [70]-[80] | 31.45 s | join = 2989 | tmass = 2989 | gaia = 44370| TOP = 216486
[##################################################] 100% 7-8 | [80]-[90] | 16.27 s | join = 536 | tmass = 536 | gaia = 13268| TOP = 88740
[##                                                ] 6% 8-9 | [-90]-[-80] | 19.77 s | join = 409 | tmass = 409 | gaia = 7906| TOP = 50000
[#####                                             ] 11% 8-9 | [-80]-[-70] | 19.43 s | join = 1033 | tmass = 1033 | gaia = 16564| TOP = 50000
[########                                          ] 17% 8-9 | [-70]-[-60] | 31.14 s | join = 1062 | tmass = 1062 | gaia = 20930| TOP = 50000
[###########                                       ] 22% 8-9 | [-60]-[-50] | 27.27 s | join = 1184 | tmass = 1184 | gaia = 22618| TOP = 50000
[#############                                     ] 28% 8-9 | [-50]-[-40] | 23.51 s | join = 1330 | tmass = 1330 | gaia = 22989| TOP = 50000
[################                                  ] 33% 8-9 | [-40]-[-30] | 21.03 s | join = 1401 | tmass = 1401 | gaia = 22658| TOP = 50000
[###################                               ] 39% 8-9 | [-30]-[-20] | 21.2 s | join = 1472 | tmass = 1472 | gaia = 22508| TOP = 50000
[######################                            ] 44% 8-9 | [-20]-[-10] | 30.01 s | join = 1632 | tmass = 1632 | gaia = 23480| TOP = 50000
[#########################                         ] 50% 8-9 | [-10]-[0] | 32.62 s | join = 1765 | tmass = 1765 | gaia = 26187| TOP = 50000
[###########################                       ] 56% 8-9 | [0]-[10] | 40.25 s | join = 2094 | tmass = 2094 | gaia = 29660| TOP = 52374
[##############################                    ] 61% 8-9 | [10]-[20] | 25.56 s | join = 2156 | tmass = 2156 | gaia = 35373| TOP = 59320
[#################################                 ] 67% 8-9 | [20]-[30] | 40.19 s | join = 2838 | tmass = 2838 | gaia = 43872| TOP = 70746
[####################################              ] 72% 8-9 | [30]-[40] | 51.98 s | join = 3369 | tmass = 3369 | gaia = 58136| TOP = 87744
[######################################            ] 78% 8-9 | [40]-[50] | 74.06 s | join = 5223 | tmass = 5223 | gaia = 90297| TOP = 116272
[#########################################         ] 83% 8-9 | [50]-[60] | 86.3 s | join = 9608 | tmass = 9608 | gaia = 130137| TOP = 180594
[############################################      ] 89% 8-9 | [60]-[70] | 72.61 s | join = 10054 | tmass = 10054 | gaia = 107589| TOP = 260274
[###############################################   ] 94% 8-9 | [70]-[80] | 32.38 s | join = 2938 | tmass = 2938 | gaia = 45888| TOP = 215178
[##################################################] 100% 8-9 | [80]-[90] | 16.62 s | join = 531 | tmass = 531 | gaia = 13261| TOP = 91776
[##                                                ] 6% 9-10 | [-90]-[-80] | 41.1 s | join = 377 | tmass = 377 | gaia = 7901| TOP = 50000
[#####                                             ] 11% 9-10 | [-80]-[-70] | 31.41 s | join = 1116 | tmass = 1116 | gaia = 16629| TOP = 50000
[########                                          ] 17% 9-10 | [-70]-[-60] | 30.97 s | join = 1071 | tmass = 1071 | gaia = 20970| TOP = 50000
[###########                                       ] 22% 9-10 | [-60]-[-50] | 22.71 s | join = 1265 | tmass = 1265 | gaia = 22524| TOP = 50000
[#############                                     ] 28% 9-10 | [-50]-[-40] | 33.14 s | join = 1297 | tmass = 1297 | gaia = 22877| TOP = 50000
[################                                  ] 33% 9-10 | [-40]-[-30] | 32.01 s | join = 1391 | tmass = 1391 | gaia = 22610| TOP = 50000
[###################                               ] 39% 9-10 | [-30]-[-20] | 35.02 s | join = 1535 | tmass = 1535 | gaia = 22637| TOP = 50000
[######################                            ] 44% 9-10 | [-20]-[-10] | 27.41 s | join = 1627 | tmass = 1627 | gaia = 23617| TOP = 50000
[#########################                         ] 50% 9-10 | [-10]-[0] | 25.31 s | join = 1740 | tmass = 1740 | gaia = 26079| TOP = 50000
[###########################                       ] 56% 9-10 | [0]-[10] | 25.22 s | join = 1930 | tmass = 1930 | gaia = 29542| TOP = 52158
[##############################                    ] 61% 9-10 | [10]-[20] | 36.48 s | join = 2227 | tmass = 2227 | gaia = 35225| TOP = 59084
[#################################                 ] 67% 9-10 | [20]-[30] | 38.1 s | join = 2783 | tmass = 2783 | gaia = 43261| TOP = 70450
[####################################              ] 72% 9-10 | [30]-[40] | 48.07 s | join = 3574 | tmass = 3574 | gaia = 57879| TOP = 86522
[######################################            ] 78% 9-10 | [40]-[50] | 68.53 s | join = 5235 | tmass = 5235 | gaia = 88633| TOP = 115758
[#########################################         ] 83% 9-10 | [50]-[60] | 86.62 s | join = 9315 | tmass = 9315 | gaia = 125785| TOP = 177266
[############################################      ] 89% 9-10 | [60]-[70] | 67.67 s | join = 10374 | tmass = 10374 | gaia = 105903| TOP = 251570
[###############################################   ] 94% 9-10 | [70]-[80] | 45.06 s | join = 3013 | tmass = 3013 | gaia = 46561| TOP = 211806
[##################################################] 100% 9-10 | [80]-[90] | 16.41 s | join = 556 | tmass = 556 | gaia = 13252| TOP = 93122
[##                                                ] 6% 10-11 | [-90]-[-80] | 17.43 s | join = 350 | tmass = 350 | gaia = 7929| TOP = 50000
[#####                                             ] 11% 10-11 | [-80]-[-70] | 27.78 s | join = 1323 | tmass = 1323 | gaia = 16456| TOP = 50000
[########                                          ] 17% 10-11 | [-70]-[-60] | 24.66 s | join = 1033 | tmass = 1033 | gaia = 20809| TOP = 50000
[###########                                       ] 22% 10-11 | [-60]-[-50] | 21.01 s | join = 1225 | tmass = 1225 | gaia = 22671| TOP = 50000
[#############                                     ] 28% 10-11 | [-50]-[-40] | 25.75 s | join = 1266 | tmass = 1266 | gaia = 22765| TOP = 50000
[################                                  ] 33% 10-11 | [-40]-[-30] | 26.2 s | join = 1347 | tmass = 1347 | gaia = 22599| TOP = 50000
[###################                               ] 39% 10-11 | [-30]-[-20] | 29.51 s | join = 1419 | tmass = 1419 | gaia = 22770| TOP = 50000
[######################                            ] 44% 10-11 | [-20]-[-10] | 23.48 s | join = 1593 | tmass = 1593 | gaia = 23686| TOP = 50000
[#########################                         ] 50% 10-11 | [-10]-[0] | 35.47 s | join = 1767 | tmass = 1767 | gaia = 25918| TOP = 50000
[###########################                       ] 56% 10-11 | [0]-[10] | 24.35 s | join = 1955 | tmass = 1955 | gaia = 29081| TOP = 51836
[##############################                    ] 61% 10-11 | [10]-[20] | 37.1 s | join = 2345 | tmass = 2345 | gaia = 34849| TOP = 58162
[#################################                 ] 67% 10-11 | [20]-[30] | 41.21 s | join = 2757 | tmass = 2757 | gaia = 42789| TOP = 69698
[####################################              ] 72% 10-11 | [30]-[40] | 39.05 s | join = 3416 | tmass = 3416 | gaia = 57895| TOP = 85578
[######################################            ] 78% 10-11 | [40]-[50] | 52.96 s | join = 5154 | tmass = 5154 | gaia = 87082| TOP = 115790
[#########################################         ] 83% 10-11 | [50]-[60] | 72.12 s | join = 9369 | tmass = 9369 | gaia = 120695| TOP = 174164
[############################################      ] 89% 10-11 | [60]-[70] | 88.11 s | join = 10071 | tmass = 10071 | gaia = 103313| TOP = 241390
[###############################################   ] 94% 10-11 | [70]-[80] | 33.93 s | join = 2988 | tmass = 2988 | gaia = 47136| TOP = 206626
[##################################################] 100% 10-11 | [80]-[90] | 16.23 s | join = 549 | tmass = 549 | gaia = 13236| TOP = 94272
[##                                                ] 6% 11-12 | [-90]-[-80] | 13.88 s | join = 347 | tmass = 347 | gaia = 7979| TOP = 50000
[#####                                             ] 11% 11-12 | [-80]-[-70] | 20.16 s | join = 1629 | tmass = 1629 | gaia = 16278| TOP = 50000
[########                                          ] 17% 11-12 | [-70]-[-60] | 21.91 s | join = 1060 | tmass = 1060 | gaia = 20618| TOP = 50000
[###########                                       ] 22% 11-12 | [-60]-[-50] | 21.34 s | join = 1172 | tmass = 1172 | gaia = 22589| TOP = 50000
[#############                                     ] 28% 11-12 | [-50]-[-40] | 20.63 s | join = 1307 | tmass = 1307 | gaia = 22604| TOP = 50000
[################                                  ] 33% 11-12 | [-40]-[-30] | 24.83 s | join = 1364 | tmass = 1364 | gaia = 22477| TOP = 50000
[###################                               ] 39% 11-12 | [-30]-[-20] | 20.66 s | join = 1535 | tmass = 1535 | gaia = 22710| TOP = 50000
[######################                            ] 44% 11-12 | [-20]-[-10] | 21.75 s | join = 1619 | tmass = 1619 | gaia = 23988| TOP = 50000
[#########################                         ] 50% 11-12 | [-10]-[0] | 33.36 s | join = 1776 | tmass = 1776 | gaia = 26057| TOP = 50000
[###########################                       ] 56% 11-12 | [0]-[10] | 24.09 s | join = 1900 | tmass = 1900 | gaia = 28735| TOP = 52114
[##############################                    ] 61% 11-12 | [10]-[20] | 26.36 s | join = 2174 | tmass = 2174 | gaia = 34130| TOP = 57470
[#################################                 ] 67% 11-12 | [20]-[30] | 37.0 s | join = 2699 | tmass = 2699 | gaia = 42157| TOP = 68260
[####################################              ] 72% 11-12 | [30]-[40] | 48.6 s | join = 3509 | tmass = 3509 | gaia = 57657| TOP = 84314
[######################################            ] 78% 11-12 | [40]-[50] | 64.75 s | join = 5191 | tmass = 5191 | gaia = 86477| TOP = 115314
[#########################################         ] 83% 11-12 | [50]-[60] | 76.71 s | join = 9489 | tmass = 9489 | gaia = 120773| TOP = 172954
[############################################      ] 89% 11-12 | [60]-[70] | 75.0 s | join = 10199 | tmass = 10199 | gaia = 104414| TOP = 241546
[###############################################   ] 94% 11-12 | [70]-[80] | 47.7 s | join = 2993 | tmass = 2993 | gaia = 47924| TOP = 208828
[##################################################] 100% 11-12 | [80]-[90] | 23.59 s | join = 531 | tmass = 531 | gaia = 13641| TOP = 95848
[##                                                ] 6% 12-13 | [-90]-[-80] | 19.75 s | join = 357 | tmass = 357 | gaia = 7901| TOP = 50000
[#####                                             ] 11% 12-13 | [-80]-[-70] | 18.83 s | join = 1893 | tmass = 1893 | gaia = 16188| TOP = 50000
[########                                          ] 17% 12-13 | [-70]-[-60] | 32.37 s | join = 1068 | tmass = 1068 | gaia = 20636| TOP = 50000
[###########                                       ] 22% 12-13 | [-60]-[-50] | 21.08 s | join = 1180 | tmass = 1180 | gaia = 22661| TOP = 50000
[#############                                     ] 28% 12-13 | [-50]-[-40] | 26.48 s | join = 1291 | tmass = 1291 | gaia = 22781| TOP = 50000
[################                                  ] 33% 12-13 | [-40]-[-30] | 21.93 s | join = 1386 | tmass = 1386 | gaia = 22461| TOP = 50000
[###################                               ] 39% 12-13 | [-30]-[-20] | 29.81 s | join = 1447 | tmass = 1447 | gaia = 22758| TOP = 50000
[######################                            ] 44% 12-13 | [-20]-[-10] | 29.19 s | join = 1597 | tmass = 1597 | gaia = 24116| TOP = 50000
[#########################                         ] 50% 12-13 | [-10]-[0] | 31.38 s | join = 1742 | tmass = 1742 | gaia = 26070| TOP = 50000
[###########################                       ] 56% 12-13 | [0]-[10] | 33.56 s | join = 1879 | tmass = 1879 | gaia = 28631| TOP = 52140
[##############################                    ] 61% 12-13 | [10]-[20] | 35.45 s | join = 2196 | tmass = 2196 | gaia = 33417| TOP = 57262
[#################################                 ] 67% 12-13 | [20]-[30] | 37.04 s | join = 2772 | tmass = 2772 | gaia = 41587| TOP = 66834
[####################################              ] 72% 12-13 | [30]-[40] | 37.76 s | join = 3499 | tmass = 3499 | gaia = 57458| TOP = 83174
[######################################            ] 78% 12-13 | [40]-[50] | 64.22 s | join = 5185 | tmass = 5185 | gaia = 87300| TOP = 114916
